time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0172,0.4490,-2.1903,2.236
0.009000,0.1412,0.1320,-1.2568,1.272
0.013000,0.0490,-0.3980,-0.3611,0.540
0.034000,0.0196,-0.5352,-0.1631,0.560
0.035000,0.0196,-0.5352,-0.1631,0.560
0.036000,-0.0467,-0.7188,-0.3022,0.781
0.054000,0.0191,-0.7071,-0.4431,0.835
0.055000,0.1960,-0.2885,-0.9532,1.015
0.068000,0.4715,0.2471,-1.4788,1.572
0.074000,0.6699,0.7416,-2.0766,2.305
0.091000,0.3990,0.8687,-2.4108,2.593
0.095000,-0.1075,0.4534,-2.7029,2.743
0.108000,-0.5207,0.1356,-2.3019,2.364
0.115000,-0.4289,-0.1632,-1.7018,1.763
0.126000,-0.1805,-0.4121,-1.3153,1.390
0.135000,0.0361,-0.3956,-0.8289,0.919
0.151000,0.0269,-0.4515,-0.3435,0.568
0.153000,-0.0728,-0.2347,-0.1480,0.287
0.167000,-0.1599,-0.1234,-1.1845,1.202
0.178000,-0.2691,0.0841,-2.6292,2.644
0.186000,-0.5094,0.2900,-3.2241,3.277
0.194000,-0.3893,0.4345,-2.8911,2.949
0.207000,-0.3443,0.4568,-2.6009,2.663
0.217000,-0.1636,0.2799,-1.7826,1.812
0.227000,0.2201,0.1480,-0.7644,0.809
0.250000,-0.0616,0.0339,-0.0287,0.076
0.252000,-0.1151,-0.6115,-0.7050,0.940
0.259000,-0.2237,-0.2028,-0.7858,0.842
0.266000,-0.1003,0.4223,-1.3693,1.436
0.281000,0.0322,0.6859,-2.0020,2.117
0.285000,0.0873,0.5185,-2.4546,2.510
0.297000,-0.4526,0.4802,-1.9181,2.028
0.306000,-0.6735,0.3035,-1.6637,1.820
0.315000,-0.8969,-0.0953,-1.6859,1.912
0.331000,-1.1204,-0.2929,-1.4511,1.857
0.336000,-1.2959,-0.4065,-1.1253,1.764
0.345000,-1.3405,-0.6682,-0.4483,1.563
0.361000,-1.6903,-1.0506,-1.3396,2.399
0.363000,-1.7719,-1.1443,-1.3904,2.526
0.378000,-2.1359,-1.4679,-1.4151,2.953
0.385000,-2.4388,-1.4346,-2.1009,3.524
0.395000,-2.4924,-1.2354,-2.7797,3.933
0.408000,-2.7773,-1.0976,-3.5781,4.661
0.415000,-2.7479,-1.1939,-3.5447,4.641
0.429000,-2.6625,-1.0238,-3.5534,4.557
0.438000,-3.3441,-1.1977,-3.3069,4.853
0.452000,-2.8818,-1.5805,-3.6214,4.891
0.459000,-3.0783,-1.9535,-2.4333,4.383
0.461000,-3.0783,-1.9535,-2.4333,4.383
0.465000,-1.8641,-1.6598,-1.2475,2.790
0.476000,-1.0376,-1.6236,-0.0444,1.927
0.486000,-0.7991,-1.7961,0.5096,2.031
0.495000,-0.0716,-1.3406,1.2523,1.836
0.508000,0.0607,-0.9290,2.3417,2.520
0.513000,0.6772,-0.5689,2.3996,2.557
0.531000,0.9806,-0.3711,2.8410,3.028
0.533000,0.9806,-0.3711,2.8410,3.028
0.535000,1.6411,-0.1524,2.8215,3.268
0.559000,2.5629,0.0402,2.6578,3.692
0.560000,3.3673,-0.0174,2.7025,4.318
0.567000,3.0795,-1.2211,2.6945,4.270
0.578000,2.5654,-2.4030,2.5800,4.360
0.583000,2.3847,-3.7015,1.5648,4.673
0.599000,2.0012,-4.6829,1.1182,5.214
0.601000,2.0012,-4.6829,1.1182,5.214
0.604000,1.9781,-5.7706,0.5368,6.124
0.616000,1.9490,-6.5571,0.1458,6.842
0.631000,2.1367,-7.2488,-0.2321,7.561
0.635000,3.0217,-7.5623,-0.0812,8.144
0.648000,4.0828,-7.1512,0.2953,8.240
0.654000,5.6363,-6.8625,-0.0685,8.881
0.668000,6.5024,-5.2417,0.2566,8.356
0.675000,6.6368,-4.8406,0.5068,8.230
0.687000,6.4016,-4.4385,0.8894,7.840
0.695000,6.1952,-4.2923,1.8496,7.761
0.708000,6.3194,-4.0770,2.2810,7.859
0.718000,6.4672,-3.1841,2.2509,7.552
0.734000,6.5947,-2.9698,1.7219,7.435
0.743000,7.1044,-1.0287,0.5084,7.196
0.750000,6.9071,-0.0544,-0.2789,6.913
0.760000,6.1360,0.5602,-0.9609,6.236
0.767000,4.8379,0.6579,-1.3538,5.067
0.776000,3.4190,0.7577,-1.6525,3.872
0.788000,2.3001,1.0557,-1.8661,3.144
0.793000,1.6576,1.2062,-1.7329,2.684
0.810000,1.2704,2.0581,-1.3969,2.793
0.816000,0.6920,2.6027,-1.4755,3.071
0.826000,0.9567,3.3004,-1.4067,3.713
0.837000,1.5795,4.1572,-1.1440,4.592
0.855000,2.9389,5.0351,-1.4765,6.014
0.859000,4.0962,5.0041,-2.3981,6.897
0.864000,4.2877,3.9411,-3.5577,6.825
0.878000,4.4043,2.8445,-3.5593,6.337
0.885000,5.4209,1.8220,-2.9914,6.454
0.896000,7.2429,0.8434,-1.9911,7.559
0.909000,8.9136,0.1480,-1.0706,8.979
0.916000,10.4915,-0.3199,-0.8237,10.529
0.926000,11.8580,-0.4142,-0.7905,11.892
0.938000,13.0964,0.2883,-0.6147,13.114
