time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.1659,-0.7761,-2.0028,2.154
0.010000,0.2056,-0.5583,-1.0307,1.190
0.012000,0.2056,-0.5583,-1.0307,1.190
0.014000,0.6474,-0.5952,-0.3939,0.964
0.021000,0.9133,-0.6667,0.0430,1.132
0.026000,0.8764,-0.7813,-0.0274,1.174
0.041000,0.7395,-0.7277,-0.3553,1.097
0.049000,0.6970,-0.6603,-0.6225,1.144
0.056000,0.6191,-0.8644,-0.9725,1.441
0.077000,0.5542,-1.0661,-1.1033,1.631
0.079000,0.5542,-1.0661,-1.1033,1.631
0.080000,0.2810,-1.3363,-1.2204,1.831
0.107000,-0.1543,-1.4311,-1.3397,1.966
0.108000,-0.2273,-1.3855,-1.6112,2.137
0.115000,-0.0954,-1.2688,-1.5859,2.033
0.118000,0.2585,-1.3421,-1.6084,2.111
0.129000,0.5921,-1.3819,-1.0335,1.824
0.148000,1.0708,-1.5619,-0.2646,1.912
0.149000,1.3646,-1.7387,0.7288,2.327
0.163000,1.4765,-1.9826,1.4796,2.881
0.166000,1.2815,-2.1078,1.8440,3.080
0.186000,0.9387,-1.9233,1.4758,2.600
0.197000,0.6571,-1.5196,1.0785,1.976
0.199000,0.4538,-1.1549,0.6738,1.412
0.209000,0.2749,-0.9276,0.6206,1.149
0.217000,0.3001,-0.9160,0.5782,1.124
0.228000,0.1353,-0.9961,0.3360,1.060
0.243000,-0.0557,-1.2293,0.2805,1.262
0.250000,-0.2550,-1.4653,0.3946,1.539
0.256000,0.0368,-1.7903,0.7701,1.949
0.270000,0.3179,-1.9184,0.9243,2.153
0.285000,0.5060,-1.8234,0.8119,2.059
0.287000,0.4638,-1.6831,0.5901,1.843
0.297000,-0.0277,-1.5907,0.3291,1.625
0.310000,-0.3965,-1.6849,0.1771,1.740
0.317000,-0.1822,-1.3496,-0.1271,1.368
0.329000,0.2039,-0.8423,-0.0963,0.872
0.343000,0.5968,-0.4506,0.1512,0.763
0.349000,0.6652,-0.0253,0.8029,1.043
0.357000,0.6917,0.0796,1.3167,1.489
0.367000,0.5813,-0.1541,1.4019,1.525
0.388000,0.4172,-0.4387,0.7681,0.978
0.389000,-0.8473,-0.7776,0.0795,1.153
0.397000,-0.8334,-0.6527,-0.0635,1.061
0.409000,-0.6422,-0.7579,-0.0920,0.998
0.415000,-1.0203,-1.8711,-0.0282,2.131
0.430000,-0.8583,-0.8843,-0.3227,1.274
0.431000,-0.8583,-0.8843,-0.3227,1.274
0.449000,-0.7532,-0.2248,-0.6498,1.020
0.451000,-0.7528,-0.3043,-1.2619,1.501
0.459000,-0.6510,-0.4719,-1.4255,1.637
0.467000,-0.2828,-0.3739,-1.2697,1.353
0.487000,-0.0187,-0.0827,-0.9480,0.952
0.488000,0.2802,0.1515,-0.8497,0.907
0.500000,0.4881,0.1834,-0.4611,0.696
0.502000,0.4881,0.1834,-0.4611,0.696
0.511000,0.5387,-0.0017,-0.4149,0.680
0.519000,0.4402,-0.3229,-0.4128,0.684
0.527000,0.2376,-0.6278,-0.5519,0.869
0.538000,0.1861,-0.9676,-0.4228,1.072
0.549000,0.8724,-1.1707,0.6157,1.585
0.561000,1.3834,-1.2271,1.2671,2.242
0.573000,1.6521,-1.1006,1.7718,2.661
0.575000,1.6521,-1.1006,1.7718,2.661
0.576000,2.0037,-1.0202,2.3867,3.279
0.601000,1.9451,-0.6121,2.6247,3.324
0.603000,1.7806,-0.1309,2.5427,3.107
0.610000,1.3722,0.1166,2.0504,2.470
0.615000,0.7851,0.3736,1.5037,1.737
0.629000,0.2141,0.4340,0.7876,0.924
0.648000,-0.0958,0.4129,0.0534,0.427
0.649000,-0.3755,0.4486,-0.5653,0.814
0.673000,-0.3796,0.6978,-1.6278,1.811
0.675000,-0.3463,0.7274,-2.1408,2.287
0.678000,-0.3556,0.7449,-2.4126,2.550
0.689000,-0.4312,0.7481,-2.5683,2.710
0.694000,-0.4091,0.7282,-2.6710,2.799
0.709000,-0.3537,0.6509,-2.4798,2.588
0.717000,-0.2543,0.5991,-2.1623,2.258
0.727000,0.0604,0.5612,-1.8067,1.893
0.739000,0.3153,0.4721,-1.2768,1.397
0.747000,0.5131,0.3151,-0.8718,1.060
0.759000,0.6549,0.1337,-0.3989,0.778
