time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.4803,-0.2672,-0.6253,0.832
0.009000,-0.6445,-0.2542,-0.7729,1.038
0.021000,-0.7120,-0.2270,-0.5683,0.939
0.029000,-0.6535,-0.2652,-0.5291,0.882
0.044000,-0.6250,-0.3666,-0.5922,0.936
0.047000,-0.6482,-0.3138,-0.7265,1.023
0.062000,-0.5853,-0.1963,-0.8642,1.062
0.072000,-0.3138,-0.0410,-1.2048,1.246
0.081000,-0.3791,0.1583,-0.9527,1.038
0.091000,-0.1219,0.0415,-1.2380,1.245
0.102000,0.6069,-0.0346,-1.7823,1.883
0.110000,-0.3981,-0.1078,-1.4905,1.547
0.124000,-0.8977,-0.0566,-1.6810,1.907
0.128000,-0.7346,-0.0764,-1.9539,2.089
0.145000,-0.8877,-0.2217,-1.5586,1.807
0.146000,-0.8877,-0.2217,-1.5586,1.807
0.159000,-0.9742,-0.4114,-1.1673,1.575
0.161000,-0.5867,-0.1741,-0.6287,0.877
0.172000,-0.6281,-0.1202,0.0331,0.640
0.179000,-0.5620,-0.0399,0.1356,0.579
0.194000,-0.1473,0.1304,-0.5244,0.560
0.199000,0.3650,0.3072,-0.3710,0.604
0.213000,-0.0158,0.5128,0.0473,0.515
0.219000,-0.2740,0.5790,-0.2481,0.687
0.232000,-0.4518,0.4244,-0.6051,0.866
0.239000,-0.6503,-0.0223,-0.9576,1.158
0.258000,-0.8398,-0.4775,-1.8761,2.110
0.263000,-1.1725,-0.4794,-2.8980,3.163
0.269000,-1.0062,-0.3750,-3.8689,4.015
0.285000,-0.4899,-0.2662,-4.1608,4.198
0.287000,-0.4899,-0.2662,-4.1608,4.198
0.291000,-0.2507,-0.3326,-3.7954,3.818
0.304000,0.5306,-0.4812,-3.0533,3.136
0.312000,0.7111,-0.0817,-2.7525,2.844
0.324000,0.5569,-0.2428,-3.1104,3.169
0.329000,0.0224,-0.4350,-4.1846,4.207
0.344000,-0.7725,-0.6892,-4.8978,5.006
0.345000,-0.7725,-0.6892,-4.8978,5.006
0.350000,-1.3011,-1.0563,-5.7251,5.965
0.362000,-2.2202,-1.7413,-5.7653,6.419
0.372000,-2.2580,-1.8270,-5.6036,6.312
0.379000,-2.2374,-2.1638,-5.4977,6.318
0.391000,-2.4072,-2.8548,-4.7846,6.069
0.404000,-2.4673,-3.0684,-3.5854,5.325
0.408000,-1.8708,-3.2376,-2.8794,4.719
0.422000,-1.7558,-3.4784,-1.5345,4.188
0.431000,-0.9412,-3.3691,-0.6496,3.558
0.440000,-1.1261,-3.3486,0.0775,3.534
0.451000,-1.0126,-3.2140,0.6118,3.425
0.462000,-1.0942,-3.0834,0.5318,3.315
0.471000,-0.9415,-2.8505,0.7210,3.087
0.483000,-0.7493,-2.4408,1.1564,2.803
0.488000,-0.6875,-2.4422,0.9534,2.710
0.505000,-0.3767,-2.1941,1.2172,2.537
0.507000,-0.3767,-2.1941,1.2172,2.537
0.509000,0.1555,-1.9595,1.8603,2.706
0.523000,0.7390,-1.4209,2.4895,2.960
0.531000,1.3257,-0.9795,3.2379,3.633
0.541000,1.8142,-0.4790,3.5856,4.047
0.561000,2.3835,0.2246,3.7757,4.471
0.562000,2.6897,0.4633,3.7124,4.608
0.574000,2.9192,0.8793,3.5165,4.654
0.575000,2.9192,0.8793,3.5165,4.654
0.579000,3.6139,1.3711,3.6533,5.319
0.591000,3.0230,1.0710,2.5770,4.114
0.600000,3.0779,1.0561,2.0802,3.862
0.613000,3.1479,1.5417,1.4490,3.793
0.619000,2.8937,1.3427,0.9686,3.334
0.634000,2.8526,1.6773,0.6509,3.373
0.636000,2.8526,1.6773,0.6509,3.373
0.646000,2.8412,1.7647,0.4362,3.373
0.656000,2.8558,1.7070,0.4424,3.356
0.661000,3.0508,1.7639,0.5415,3.565
0.673000,3.3025,1.8443,0.8000,3.866
0.685000,3.5614,1.7730,1.2913,4.183
0.690000,3.5601,1.7691,1.2892,4.179
0.706000,3.7632,2.0615,1.0369,4.414
0.708000,3.7632,2.0615,1.0369,4.414
0.712000,3.4573,1.9993,0.5996,4.039
0.722000,3.2469,1.8016,0.0765,3.714
0.731000,2.9635,1.6680,-0.4124,3.426
0.742000,2.8070,1.5843,-0.6222,3.283
0.751000,2.7573,1.4331,-0.7332,3.193
0.762000,2.9302,1.6170,-0.6116,3.402
0.768000,3.0531,1.6947,-0.1988,3.498
0.782000,3.2208,1.9686,0.0209,3.775
0.792000,3.2325,1.9417,0.1589,3.774
0.801000,3.2764,1.6223,0.1901,3.661
0.812000,3.4566,1.1614,0.2993,3.659
0.821000,3.6195,0.7599,0.4973,3.732
0.831000,3.8973,0.2753,0.6540,3.961
0.844000,4.2799,-0.0254,0.7716,4.349
0.851000,4.5704,-0.4232,0.8970,4.677
0.861000,4.6901,-0.8346,1.2378,4.922
0.871000,4.6164,-1.3006,1.7889,5.119
0.889000,4.4081,-1.4999,2.3390,5.211
0.891000,4.0410,-0.9923,2.4791,4.844
