time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
0.005,0.005,0.005,0.005,0.005,NONE
0.005,0.005,0.005,0.005,0.005,NONE
0.012,0.012,0.012,0.012,0.012,NONE
0.024,0.024,0.024,0.024,0.024,NONE
0.027,0.027,0.027,0.027,0.027,NONE
0.037,0.037,0.037,0.037,0.037,NONE
0.047,0.047,0.047,0.047,0.047,NONE
0.058,0.058,0.058,0.058,0.058,NONE
0.072,0.072,0.072,0.072,0.072,NONE
0.078,0.078,0.078,0.078,0.078,NONE
0.097,0.097,0.097,0.097,0.097,NONE
0.099,0.099,0.099,0.099,0.099,NONE
0.109,0.109,0.109,0.109,0.109,NONE
0.12,0.12,0.12,0.12,0.12,NONE
0.128,0.128,0.128,0.128,0.128,NONE
0.138,0.138,0.138,0.138,0.138,NONE
0.148,0.148,0.148,0.148,0.148,NONE
0.158,0.158,0.158,0.158,0.158,NONE
0.169,0.169,0.169,0.169,0.169,NONE
0.178,0.178,0.178,0.178,0.178,NONE
0.198,0.198,0.198,0.198,0.198,NONE
0.199,0.199,0.199,0.199,0.199,NONE
0.21,0.21,0.21,0.21,0.21,NONE
0.224,0.224,0.224,0.224,0.224,NONE
0.228,0.228,0.228,0.228,0.228,NONE
0.238,0.238,0.238,0.238,0.238,NONE
0.248,0.248,0.248,0.248,0.248,NONE
0.258,0.258,0.258,0.258,0.258,NONE
0.269,0.269,0.269,0.269,0.269,NONE
0.278,0.278,0.278,0.278,0.278,NONE
0.298,0.298,0.298,0.298,0.298,NONE
0.299,0.299,0.299,0.299,0.299,NONE
0.309,0.309,0.309,0.309,0.309,NONE
0.325,0.325,0.325,0.325,0.325,NONE
0.328,0.328,0.328,0.328,0.328,NONE
0.339,0.339,0.339,0.339,0.339,NONE
0.348,0.348,0.348,0.348,0.348,NONE
0.358,0.358,0.358,0.358,0.358,NONE
0.369,0.369,0.369,0.369,0.369,NONE
0.379,0.379,0.379,0.379,0.379,NONE
0.388,0.388,0.388,0.388,0.388,NONE
0.398,0.398,0.398,0.398,0.398,NONE
0.415,0.415,0.415,0.415,0.415,NONE
0.419,0.419,0.419,0.419,0.419,NONE
0.428,0.428,0.428,0.428,0.428,NONE
0.438,0.438,0.438,0.438,0.438,NONE
0.448,0.448,0.448,0.448,0.448,NONE
0.458,0.458,0.458,0.458,0.458,NONE
0.47,0.47,0.47,0.47,0.47,NONE
0.479,0.479,0.479,0.479,0.479,NONE
0.488,0.488,0.488,0.488,0.488,NONE
0.498,0.498,0.498,0.498,0.498,NONE
0.515,0.515,0.515,0.515,0.515,NONE
0.52,0.52,0.52,0.52,0.52,NONE
0.528,0.528,0.528,0.528,0.528,NONE
0.543,0.543,0.543,0.543,0.543,NONE
0.548,0.548,0.548,0.548,0.548,NONE
0.558,0.558,0.558,0.558,0.558,NONE
0.57,0.57,0.57,0.57,0.57,NONE
0.578,0.578,0.578,0.578,0.578,NONE
0.589,0.589,0.589,0.589,0.589,NONE
0.598,0.598,0.598,0.598,0.598,NONE
0.615,0.615,0.615,0.615,0.615,NONE
0.619,0.619,0.619,0.619,0.619,NONE
0.628,0.628,0.628,0.628,0.628,NONE
0.64,0.64,0.64,0.64,0.64,NONE
0.648,0.648,0.648,0.648,0.648,NONE
0.659,0.659,0.659,0.659,0.659,NONE
0.669,0.669,0.669,0.669,0.669,NONE
0.678,0.678,0.678,0.678,0.678,NONE
0.689,0.689,0.689,0.689,0.689,NONE
0.698,0.698,0.698,0.698,0.698,NONE
0.715,0.715,0.715,0.715,0.715,NONE
0.72,0.72,0.72,0.72,0.72,NONE
0.729,0.729,0.729,0.729,0.729,NONE
0.745,0.745,0.745,0.745,0.745,NONE
0.749,0.749,0.749,0.749,0.749,NONE
0.758,0.758,0.758,0.758,0.758,NONE
0.769,0.769,0.769,0.769,0.769,NONE
0.778,0.778,0.778,0.778,0.778,NONE
0.789,0.789,0.789,0.789,0.789,NONE
0.798,0.798,0.798,0.798,0.798,NONE
0.808,0.808,0.808,0.808,0.808,NONE
0.818,0.818,0.818,0.818,0.818,NONE
0.831,0.831,0.831,0.831,0.831,NONE
0.838,0.838,0.838,0.838,0.838,NONE
0.848,0.848,0.848,0.848,0.848,NONE
0.862,0.862,0.862,0.862,0.862,NONE
0.867,0.867,0.867,0.867,0.867,NONE
0.88,0.88,0.88,0.88,0.88,NONE
0.89,0.89,0.89,0.89,0.89,NONE
0.898,0.898,0.898,0.898,0.898,NONE
0.907,0.907,0.907,0.907,0.907,NONE
0.918,0.918,0.918,0.918,0.918,NONE
0.929,0.929,0.929,0.929,0.929,NONE
0.948,0.948,0.948,0.948,0.948,NONE
0.95,0.95,0.95,0.95,0.95,NONE
0.959,0.959,0.959,0.959,0.959,NONE
0.97,0.97,0.97,0.97,0.97,NONE
0.978,0.978,0.978,0.978,0.978,NONE
0.989,0.989,0.989,0.989,0.989,NONE
0.998,0.998,0.998,0.998,0.998,NONE
1.008,1.008,1.008,1.008,1.008,NONE
1.018,1.018,1.018,1.018,1.018,NONE
1.028,1.028,1.028,1.028,1.028,NONE
