time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
6.016,-0.5929,-0.3418,-0.4464,0.8170000000000001,Walking
6.017,-0.5929,-0.3418,-0.4464,0.8170000000000001,Walking
6.018,-0.5828,-0.4743,-0.4688,0.8859999999999999,Walking
6.018,-0.5016,-0.5603,-0.4009,0.852,Walking
6.026,-0.4299,-0.663,-0.422,0.8959999999999999,Walking
6.036,-0.4681,-0.7896,-0.4728,1.033,Walking
6.049,-0.4377,-0.8916,-0.4508,1.091,Walking
6.054,-0.4117,-0.8515,-0.4403,1.043,Walking
6.068,-0.3929,-0.8738,-0.5,1.081,Walking
6.076,-0.3618,-0.753,-0.5588,1.005,Walking
6.097,-0.4493,-0.645,-0.5814,0.978,Walking
6.099,-0.5031,-0.5264,-0.6041,0.946,Walking
6.107,-0.6786,-0.5324,-0.5735,1.036,Walking
6.127,-0.7883,-0.5927,-0.3262,1.0390000000000001,Walking
6.128,-0.9586,-0.6947,-0.3227,1.227,Walking
6.137,-1.0792,-0.6862,-0.3197,1.318,Walking
6.146,-1.1387,-0.6012,-0.4069,1.35,Walking
6.156,-1.0916,-0.3926,-0.7094,1.36,Walking
6.172,-0.8793,-0.4159,-0.8859,1.3159999999999998,Walking
6.177,-0.6643,-0.4339,-1.0349,1.304,Walking
6.202,-0.4007,-0.4175,-1.2085,1.34,Walking
6.203,-0.1128,-0.6642,-1.0981,1.288,Walking
6.208,0.2868,-0.9184,-0.8678,1.296,Walking
6.216,0.7469,-1.1326,-0.754,1.5519999999999998,Walking
6.226,1.1632,-1.2176,-0.533,1.766,Walking
6.237,1.5655,-1.2111,-0.4137,2.022,Walking
6.246,1.7596,-1.1749,-0.5692,2.191,Walking
6.258,1.5881,-0.8461,0.0354,1.8,Walking
6.276,1.5839,0.0784,0.6266,1.705,Walking
6.278,1.8046,1.4938,0.8898,2.506,Walking
6.293,2.1504,2.6781,0.7868,3.5239999999999996,Walking
6.296,2.6492,3.4017,0.6469,4.36,Walking
6.307,3.0247,3.6331,0.4833,4.752,Walking
6.317,3.0083,3.3669,0.5821,4.552,Walking
6.327,2.9699,3.3569,0.4988,4.51,Walking
6.338,2.263,2.5412,1.8451,3.8710000000000004,Walking
6.348,1.8604,2.3412,2.2865,3.764,Walking
6.356,1.6707,2.4962,2.3913,3.839,Walking
6.366,1.4731,2.3833,2.0191,3.4539999999999997,Walking
6.377,1.56,1.9885,1.1685,2.784,Walking
6.394,1.002,1.0909,0.3184,1.515,Walking
6.396,0.7478,0.4189,-0.1521,0.871,Walking
6.418,0.1779,-0.1672,-0.4253,0.49,Walking
6.42,-0.3097,-1.0186,0.0997,1.069,Walking
6.43,-1.4654,-2.0063,1.3463,2.826,Walking
6.431,-1.4654,-2.0063,1.3463,2.826,Walking
6.436,-1.7343,-2.13,1.2618,3.023,Walking
6.447,-1.7277,-2.0139,0.783,2.767,Walking
6.456,-2.2126,-1.3563,0.701,2.688,Walking
6.473,-1.8671,-0.8888,0.9522,2.2769999999999997,Walking
6.48,-1.6484,-0.4908,0.982,1.9809999999999999,Walking
6.497,-1.2789,-0.395,0.7977,1.558,Walking
6.5,-0.6852,-0.4325,0.7566,1.109,Walking
6.501,-0.6852,-0.4325,0.7566,1.109,Walking
6.506,-0.3625,-0.274,0.8076,0.927,Walking
6.517,-0.0699,-0.2181,0.4073,0.467,Walking
6.528,0.1275,-0.5341,0.5634,0.787,Walking
6.54,0.4186,-0.792,0.4318,0.9940000000000001,Walking
6.544,0.5247,-0.8929,0.3119,1.082,Walking
6.559,0.6286,-1.6613,0.6252,1.883,Walking
6.574,0.4253,-1.8947,0.6523,2.049,Walking
6.579,0.4137,-2.2572,0.6769,2.392,Walking
