time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
0.004,0.004,0.004,0.004,0.004,NONE
0.004,0.004,0.004,0.004,0.004,NONE
0.011,0.011,0.011,0.011,0.011,NONE
0.021,0.021,0.021,0.021,0.021,NONE
0.03,0.03,0.03,0.03,0.03,NONE
0.048,0.048,0.048,0.048,0.048,NONE
0.049,0.049,0.049,0.049,0.049,NONE
0.065,0.065,0.065,0.065,0.065,NONE
0.07,0.07,0.07,0.07,0.07,NONE
0.099,0.099,0.099,0.099,0.099,NONE
0.1,0.1,0.1,0.1,0.1,NONE
0.101,0.101,0.101,0.101,0.101,NONE
0.117,0.117,0.117,0.117,0.117,NONE
0.122,0.122,0.122,0.122,0.122,NONE
0.13,0.13,0.13,0.13,0.13,NONE
0.14,0.14,0.14,0.14,0.14,NONE
0.15,0.15,0.15,0.15,0.15,NONE
0.161,0.161,0.161,0.161,0.161,NONE
0.17,0.17,0.17,0.17,0.17,NONE
0.195,0.195,0.195,0.195,0.195,NONE
0.196,0.196,0.196,0.196,0.196,NONE
0.204,0.204,0.204,0.204,0.204,NONE
0.21,0.21,0.21,0.21,0.21,NONE
0.22,0.22,0.22,0.22,0.22,NONE
0.231,0.231,0.231,0.231,0.231,NONE
0.24,0.24,0.24,0.24,0.24,NONE
0.253,0.253,0.253,0.253,0.253,NONE
0.259,0.259,0.259,0.259,0.259,NONE
0.272,0.272,0.272,0.272,0.272,NONE
0.291,0.291,0.291,0.291,0.291,NONE
0.292,0.292,0.292,0.292,0.292,NONE
0.301,0.301,0.301,0.301,0.301,NONE
0.311,0.311,0.311,0.311,0.311,NONE
0.32,0.32,0.32,0.32,0.32,NONE
0.332,0.332,0.332,0.332,0.332,NONE
0.338,0.338,0.338,0.338,0.338,NONE
0.354,0.354,0.354,0.354,0.354,NONE
0.356,0.356,0.356,0.356,0.356,NONE
0.36,0.36,0.36,0.36,0.36,NONE
0.371,0.371,0.371,0.371,0.371,NONE
0.395,0.395,0.395,0.395,0.395,NONE
0.397,0.397,0.397,0.397,0.397,NONE
0.398,0.398,0.398,0.398,0.398,NONE
0.412,0.412,0.412,0.412,0.412,NONE
0.42,0.42,0.42,0.42,0.42,NONE
0.431,0.431,0.431,0.431,0.431,NONE
0.45,0.45,0.45,0.45,0.45,NONE
0.451,0.451,0.451,0.451,0.451,NONE
0.461,0.461,0.461,0.461,0.461,NONE
0.473,0.473,0.473,0.473,0.473,NONE
0.499,0.499,0.499,0.499,0.499,NONE
0.501,0.501,0.501,0.501,0.501,NONE
0.503,0.503,0.503,0.503,0.503,NONE
0.511,0.511,0.511,0.511,0.511,NONE
0.522,0.522,0.522,0.522,0.522,NONE
0.53,0.53,0.53,0.53,0.53,NONE
0.549,0.549,0.549,0.549,0.549,NONE
0.551,0.551,0.551,0.551,0.551,NONE
0.562,0.562,0.562,0.562,0.562,NONE
0.571,0.571,0.571,0.571,0.571,NONE
0.601,0.601,0.601,0.601,0.601,NONE
0.602,0.602,0.602,0.602,0.602,NONE
0.603,0.603,0.603,0.603,0.603,NONE
0.614,0.614,0.614,0.614,0.614,NONE
0.618,0.618,0.618,0.618,0.618,NONE
0.633,0.633,0.633,0.633,0.633,NONE
0.641,0.641,0.641,0.641,0.641,NONE
0.65,0.65,0.65,0.65,0.65,NONE
0.687,0.687,0.687,0.687,0.687,NONE
0.688,0.688,0.688,0.688,0.688,NONE
0.689,0.689,0.689,0.689,0.689,NONE
0.697,0.697,0.697,0.697,0.697,NONE
0.699,0.699,0.699,0.699,0.699,NONE
0.714,0.714,0.714,0.714,0.714,NONE
0.715,0.715,0.715,0.715,0.715,NONE
0.72,0.72,0.72,0.72,0.72,NONE
0.732,0.732,0.732,0.732,0.732,NONE
0.741,0.741,0.741,0.741,0.741,NONE
0.751,0.751,0.751,0.751,0.751,NONE
0.796,0.796,0.796,0.796,0.796,NONE
0.797,0.797,0.797,0.797,0.797,NONE
0.798,0.798,0.798,0.798,0.798,NONE
0.799,0.799,0.799,0.799,0.799,NONE
0.8,0.8,0.8,0.8,0.8,NONE
0.804,0.804,0.804,0.804,0.804,NONE
0.813,0.813,0.813,0.813,0.813,NONE
0.821,0.821,0.821,0.821,0.821,NONE
0.833,0.833,0.833,0.833,0.833,NONE
0.839,0.839,0.839,0.839,0.839,NONE
0.854,0.854,0.854,0.854,0.854,NONE
0.856,0.856,0.856,0.856,0.856,NONE
0.899,0.899,0.899,0.899,0.899,NONE
0.9,0.9,0.9,0.9,0.9,NONE
0.9,0.9,0.9,0.9,0.9,NONE
0.901,0.901,0.901,0.901,0.901,NONE
0.903,0.903,0.903,0.903,0.903,NONE
0.909,0.909,0.909,0.909,0.909,NONE
0.923,0.923,0.923,0.923,0.923,NONE
0.931,0.931,0.931,0.931,0.931,NONE
0.942,0.942,0.942,0.942,0.942,NONE
0.952,0.952,0.952,0.952,0.952,NONE
0.991,0.991,0.991,0.991,0.991,NONE
0.992,0.992,0.992,0.992,0.992,NONE
0.993,0.993,0.993,0.993,0.993,NONE
0.995,0.995,0.995,0.995,0.995,NONE
1.001,1.001,1.001,1.001,1.001,NONE
1.013,1.013,1.013,1.013,1.013,NONE
1.022,1.022,1.022,1.022,1.022,NONE
1.031,1.031,1.031,1.031,1.031,NONE
1.056,1.056,1.056,1.056,1.056,NONE
1.057,1.057,1.057,1.057,1.057,NONE
1.085,1.085,1.085,1.085,1.085,NONE
1.087,1.087,1.087,1.087,1.087,NONE
1.088,1.088,1.088,1.088,1.088,NONE
1.092,1.092,1.092,1.092,1.092,NONE
1.101,1.101,1.101,1.101,1.101,NONE
1.113,1.113,1.113,1.113,1.113,NONE
1.123,1.123,1.123,1.123,1.123,NONE
1.131,1.131,1.131,1.131,1.131,NONE
1.141,1.141,1.141,1.141,1.141,NONE
1.155,1.155,1.155,1.155,1.155,NONE
1.16,1.16,1.16,1.16,1.16,NONE
1.188,1.188,1.188,1.188,1.188,NONE
1.189,1.189,1.189,1.189,1.189,NONE
1.193,1.193,1.193,1.193,1.193,NONE
1.202,1.202,1.202,1.202,1.202,NONE
1.213,1.213,1.213,1.213,1.213,NONE
1.221,1.221,1.221,1.221,1.221,NONE
1.232,1.232,1.232,1.232,1.232,NONE
1.241,1.241,1.241,1.241,1.241,NONE
1.252,1.252,1.252,1.252,1.252,NONE
1.283,1.283,1.283,1.283,1.283,NONE
1.284,1.284,1.284,1.284,1.284,NONE
1.285,1.285,1.285,1.285,1.285,NONE
1.286,1.286,1.286,1.286,1.286,NONE
1.29,1.29,1.29,1.29,1.29,NONE
1.302,1.302,1.302,1.302,1.302,NONE
1.311,1.311,1.311,1.311,1.311,NONE
1.321,1.321,1.321,1.321,1.321,NONE
1.333,1.333,1.333,1.333,1.333,NONE
1.339,1.339,1.339,1.339,1.339,NONE
1.355,1.355,1.355,1.355,1.355,NONE
1.362,1.362,1.362,1.362,1.362,NONE
1.395,1.395,1.395,1.395,1.395,NONE
1.396,1.396,1.396,1.396,1.396,NONE
1.397,1.397,1.397,1.397,1.397,NONE
1.399,1.399,1.399,1.399,1.399,NONE
1.415,1.415,1.415,1.415,1.415,NONE
1.422,1.422,1.422,1.422,1.422,NONE
1.432,1.432,1.432,1.432,1.432,NONE
1.442,1.442,1.442,1.442,1.442,NONE
1.455,1.455,1.455,1.455,1.455,NONE
1.462,1.462,1.462,1.462,1.462,NONE
1.493,1.493,1.493,1.493,1.493,NONE
1.495,1.495,1.495,1.495,1.495,NONE
1.498,1.498,1.498,1.498,1.498,NONE
1.502,1.502,1.502,1.502,1.502,NONE
1.514,1.514,1.514,1.514,1.514,NONE
1.521,1.521,1.521,1.521,1.521,NONE
1.532,1.532,1.532,1.532,1.532,NONE
1.544,1.544,1.544,1.544,1.544,NONE
1.554,1.554,1.554,1.554,1.554,NONE
1.562,1.562,1.562,1.562,1.562,NONE
1.59,1.59,1.59,1.59,1.59,NONE
1.591,1.591,1.591,1.591,1.591,NONE
1.592,1.592,1.592,1.592,1.592,NONE
1.603,1.603,1.603,1.603,1.603,NONE
1.614,1.614,1.614,1.614,1.614,NONE
1.62,1.62,1.62,1.62,1.62,NONE
1.634,1.634,1.634,1.634,1.634,NONE
1.642,1.642,1.642,1.642,1.642,NONE
1.658,1.658,1.658,1.658,1.658,NONE
1.696,1.696,1.696,1.696,1.696,NONE
1.698,1.698,1.698,1.698,1.698,NONE
1.699,1.699,1.699,1.699,1.699,NONE
1.7,1.7,1.7,1.7,1.7,NONE
1.701,1.701,1.701,1.701,1.701,NONE
1.715,1.715,1.715,1.715,1.715,NONE
1.716,1.716,1.716,1.716,1.716,NONE
1.721,1.721,1.721,1.721,1.721,NONE
1.732,1.732,1.732,1.732,1.732,NONE
1.741,1.741,1.741,1.741,1.741,NONE
1.759,1.759,1.759,1.759,1.759,NONE
1.816,1.816,1.816,1.816,1.816,NONE
1.818,1.818,1.818,1.818,1.818,NONE
1.819,1.819,1.819,1.819,1.819,NONE
1.82,1.82,1.82,1.82,1.82,NONE
1.821,1.821,1.821,1.821,1.821,NONE
1.823,1.823,1.823,1.823,1.823,NONE
1.826,1.826,1.826,1.826,1.826,NONE
1.827,1.827,1.827,1.827,1.827,NONE
1.834,1.834,1.834,1.834,1.834,NONE
1.84,1.84,1.84,1.84,1.84,NONE
