time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.1925,-0.1423,0.0988,0.259
0.004000,0.5429,0.1905,0.7809,0.970
0.011000,0.5640,0.2657,1.4413,1.570
0.021000,0.6467,0.2393,1.8608,1.984
0.030000,0.5739,0.0895,1.8543,1.943
0.048000,0.4342,-0.1306,1.5179,1.584
0.049000,0.2632,-0.3339,0.9014,0.997
0.065000,0.1870,-0.4352,0.1835,0.508
0.070000,-0.0332,-0.4468,-0.3311,0.557
0.099000,-0.0730,-0.2775,-0.4237,0.512
0.100000,-0.0864,0.0382,-0.3122,0.326
0.101000,0.2540,0.3741,0.6507,0.792
0.117000,0.2693,0.3701,0.6533,0.798
0.122000,-0.0124,0.0640,-0.1639,0.176
0.130000,-0.0655,-0.1210,-0.2911,0.322
0.140000,0.0364,-0.2976,-0.5040,0.586
0.150000,0.0735,-0.3499,-0.5449,0.652
0.161000,0.0182,-0.2672,-0.3328,0.427
0.170000,-0.0554,-0.0728,-0.0859,0.125
0.195000,-0.0388,0.1208,0.2845,0.311
0.196000,-0.2875,0.1209,0.2174,0.380
0.204000,-0.3075,-0.4361,-0.5544,0.769
0.210000,-0.1691,-0.8416,-1.1550,1.439
0.220000,-0.1364,-0.7582,-1.4090,1.606
0.231000,-0.2387,-0.4505,-1.5139,1.597
0.240000,-0.3828,-0.1429,-1.5781,1.630
0.253000,-0.3805,0.2228,-1.3280,1.399
0.259000,-0.2381,0.3247,-1.0748,1.148
0.272000,-0.2897,0.3322,-0.7824,0.898
0.291000,-0.4552,0.2355,-0.4572,0.687
0.292000,-0.5275,0.1641,0.1483,0.572
0.301000,-0.1124,-0.0432,1.3274,1.333
0.311000,0.6946,-0.2887,2.5027,2.613
0.320000,0.9906,-0.7545,3.1665,3.403
0.332000,1.0315,-1.2368,2.8864,3.305
0.338000,0.6107,-1.5746,2.3431,2.888
0.354000,0.1292,-1.6093,2.4256,2.914
0.356000,0.1292,-1.6093,2.4256,2.914
0.360000,-0.1376,-1.5306,3.4535,3.780
0.371000,-0.2587,-1.3401,4.5615,4.761
0.395000,-0.0468,-1.4014,5.2163,5.401
0.397000,-0.4536,-1.5805,4.6453,4.928
0.398000,-0.7938,-1.3914,4.0800,4.383
0.412000,-0.4948,-1.3145,3.4695,3.743
0.420000,0.1941,-1.1989,2.5429,2.818
0.431000,0.7586,-0.7989,2.2823,2.534
0.450000,0.6059,-0.3283,2.5557,2.647
0.451000,0.3599,-0.4439,2.4428,2.509
0.461000,-0.0629,-0.9989,2.0470,2.279
0.473000,-0.7292,-1.8456,1.8301,2.699
0.499000,-1.3159,-2.2066,1.5529,3.002
0.501000,-1.3938,-2.5162,1.5934,3.288
0.503000,-1.3717,-2.4074,1.3891,3.099
0.511000,-1.4168,-1.9787,0.6248,2.513
0.522000,-1.2064,-1.1952,-0.6212,1.808
0.530000,-1.3783,-0.3565,-1.7736,2.274
0.549000,-1.4900,-0.1187,-2.3414,2.778
0.551000,-0.9693,-0.0831,-2.8770,3.037
0.562000,-0.2836,-0.4170,-3.5217,3.558
0.571000,0.1786,-0.7911,-3.6629,3.752
0.601000,0.1327,-1.0554,-3.4586,3.618
0.602000,-0.1075,-1.0963,-3.6846,3.846
0.603000,-0.1466,-1.3324,-4.4408,4.639
0.614000,0.3335,-1.6095,-5.4163,5.660
0.618000,0.9315,-1.5037,-6.3947,6.635
0.633000,1.7916,-1.1882,-6.2755,6.633
0.641000,2.7613,-0.5174,-5.6627,6.321
0.650000,3.7247,0.3584,-5.0758,6.306
0.687000,5.0409,1.5221,-4.5170,6.938
0.688000,4.8092,2.2780,-4.1052,6.721
0.689000,4.0808,2.6236,-3.7927,6.158
0.697000,3.9520,2.4378,-3.7916,5.995
0.699000,3.7902,2.0744,-4.2008,6.026
0.714000,3.2027,1.5438,-4.6536,5.856
0.715000,3.2027,1.5438,-4.6536,5.856
0.720000,2.5804,1.0555,-5.1222,5.832
0.732000,1.8049,0.4103,-4.2768,4.660
0.741000,1.3433,-0.2133,-2.3278,2.696
0.751000,0.6700,-0.7113,-0.0144,0.977
0.796000,-0.1533,-1.3655,1.2494,1.857
0.797000,-1.2945,-2.5685,1.9409,3.470
0.798000,-2.6061,-4.0236,2.1636,5.259
0.799000,-2.6061,-4.0236,2.1636,5.259
0.800000,-3.4553,-4.5504,1.8820,6.016
0.804000,-3.2082,-4.0344,1.1059,5.272
0.813000,-2.9495,-1.7589,0.2011,3.440
0.821000,-2.4630,0.1532,0.0668,2.469
0.833000,-1.9307,0.6288,-0.1190,2.034
0.839000,-0.3286,0.9493,0.7851,1.275
0.854000,0.9597,1.0082,1.2727,1.886
0.856000,0.9597,1.0082,1.2727,1.886
0.899000,1.6337,1.4059,1.0048,2.378
0.900000,1.2577,1.5186,-0.3357,2.000
0.900000,0.7497,1.0420,-0.4087,1.347
0.901000,0.6689,1.3746,-1.2555,1.978
0.903000,0.3635,0.8172,0.3818,0.973
0.909000,-0.5562,-1.0762,0.0897,1.215
0.923000,0.1464,-0.9911,-0.7598,1.257
0.931000,1.1125,-0.2634,-1.3677,1.783
0.942000,0.9631,0.1500,0.4337,1.067
0.952000,1.0308,-0.0399,0.6168,1.202
0.991000,0.7628,0.2052,0.7203,1.069
0.992000,0.7046,0.5885,1.0628,1.404
0.993000,0.1632,0.4936,1.3259,1.424
0.995000,-0.4675,-0.2018,0.5556,0.754
1.001000,-0.7295,-1.1619,-0.8856,1.633
1.013000,-1.3097,-2.0883,-1.5057,2.889
1.022000,-1.8890,-2.8265,-1.0087,3.546
1.031000,-2.0991,-3.1281,-0.5509,3.807
1.056000,-1.8779,-2.9023,-0.5663,3.503
1.057000,-1.4924,-2.3845,-1.0523,3.003
1.085000,-0.9362,-1.7627,-1.8340,2.711
1.087000,-0.8842,-1.0630,-2.5790,2.926
1.088000,-1.1879,-0.4186,-2.4804,2.782
1.092000,-1.2690,-0.0778,-1.5042,1.969
1.101000,-1.3137,0.2250,-0.3919,1.389
1.113000,-0.8346,0.2008,0.3425,0.924
1.123000,-0.1478,-0.0172,0.4172,0.443
1.131000,-0.0241,-0.4800,0.2529,0.543
1.141000,-0.4533,-0.9195,0.9336,1.387
1.155000,-1.3437,-1.8126,2.4520,3.332
1.160000,-2.1171,-2.4866,3.7555,4.977
1.188000,-1.9074,-3.0954,3.9098,5.339
1.189000,-0.5722,-2.7832,4.5813,5.391
1.193000,0.9202,-2.2552,3.3897,4.174
1.202000,0.4604,-1.2487,-0.0837,1.333
1.213000,0.3884,-1.3444,0.0653,1.401
1.221000,0.7253,-1.3642,-1.7351,2.323
1.232000,4.7156,0.1857,-0.8842,4.801
1.241000,8.6194,2.9241,-0.9843,9.155
1.252000,5.2986,1.0814,-2.1761,5.829
1.283000,1.8427,0.4997,-1.6791,2.543
1.284000,1.1803,0.2491,-0.5257,1.316
1.285000,2.1447,0.4752,1.9418,2.932
1.286000,2.1447,0.4752,1.9418,2.932
1.290000,2.5599,0.0470,1.4500,2.942
1.302000,1.2667,-2.4584,-0.9754,2.932
1.311000,-0.7705,-4.2396,-2.2216,4.848
1.321000,1.0702,-0.7559,-2.5267,2.846
1.333000,-3.6519,-5.4411,-0.8293,6.605
1.339000,-2.1229,-4.2761,0.6346,4.816
1.355000,-1.2378,-3.4803,1.7721,4.097
1.362000,0.4550,-2.4559,3.4340,4.246
1.395000,-0.0654,-1.2193,1.1455,1.674
1.396000,0.4680,-0.1776,1.7214,1.793
1.397000,-0.1954,-0.7446,1.8458,2.000
1.399000,0.0479,0.0417,1.0053,1.007
1.415000,1.1681,1.7920,0.2154,2.150
1.422000,2.0036,2.4392,-0.1456,3.160
1.432000,2.0241,1.7590,-0.6072,2.750
1.442000,1.3423,3.4404,-3.7852,5.288
1.455000,2.1542,4.9082,-5.3095,7.545
1.462000,-1.0756,2.3383,-5.7997,6.345
1.493000,-2.3220,0.0680,-4.8102,5.342
1.495000,0.3702,1.6017,-3.3038,3.690
1.498000,1.8801,2.1276,-0.3499,2.861
1.502000,1.5236,3.2622,1.2587,3.814
1.514000,-0.2234,1.0160,1.0398,1.471
1.521000,-0.9152,0.7827,0.7918,1.441
1.532000,-1.5332,0.4806,-0.1277,1.612
1.544000,-0.5291,0.3710,0.3669,0.743
1.554000,-0.2984,0.5873,-0.7612,1.007
1.562000,-0.5671,0.9150,-1.2068,1.617
1.590000,-0.7231,0.9327,-0.8489,1.454
1.591000,-0.6219,-1.5390,-1.0703,1.975
