time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.2099,-0.0819,-2.2519,2.263
0.005000,0.2214,0.1659,-1.7160,1.738
0.012000,-0.0184,0.0626,-1.0378,1.040
0.024000,0.4843,-0.1890,-0.6184,0.808
0.027000,0.5711,-0.2040,-0.2545,0.658
0.037000,0.3892,-0.1695,0.2456,0.490
0.047000,0.3291,-0.1416,0.5342,0.643
0.058000,0.0876,-0.0864,0.3229,0.346
0.072000,0.0327,-0.0709,-0.2185,0.232
0.078000,0.1491,-0.0130,-0.6865,0.703
0.097000,0.2310,0.0165,-0.8559,0.887
0.099000,0.1181,0.2081,-0.3047,0.387
0.109000,-0.0974,0.2964,0.0965,0.327
0.120000,-0.0018,-0.0012,0.0744,0.074
0.128000,-0.0590,-0.1200,0.0892,0.161
0.138000,-0.2688,0.0622,0.5116,0.581
0.148000,-0.6927,0.3336,0.7435,1.070
0.158000,-0.6598,0.5081,1.3146,1.556
0.169000,-0.4624,0.4343,1.1685,1.330
0.178000,-0.3207,0.1310,-0.7908,0.863
0.198000,0.1772,-0.0332,-1.0630,1.078
0.199000,0.5566,-0.0846,-0.8448,1.015
0.210000,0.4360,0.0035,-0.2508,0.503
0.224000,0.3607,0.0748,0.0981,0.381
0.228000,0.1625,0.0711,0.1490,0.232
0.238000,0.6010,-0.1003,0.1619,0.630
0.248000,0.6287,-0.0110,-0.2676,0.683
0.258000,-0.0685,0.2663,-0.6687,0.723
0.269000,-0.5729,0.7106,-0.3412,0.974
0.278000,-0.4809,0.6228,0.1779,0.807
0.298000,0.1646,0.0271,0.0074,0.167
0.299000,0.8307,-0.4415,-0.0551,0.942
0.309000,0.7346,-0.4735,0.2705,0.915
0.325000,0.4105,-0.0323,1.0082,1.089
0.328000,0.0452,0.3953,0.7186,0.821
0.339000,0.2674,0.0882,0.1237,0.308
0.348000,0.1473,0.0626,-0.4882,0.514
0.358000,-0.0637,0.3913,-1.2167,1.280
0.369000,-0.2482,0.2867,-0.7233,0.817
0.379000,-0.3066,0.0866,-0.1010,0.334
0.388000,-0.2231,0.1479,0.8965,0.936
0.398000,-0.4741,0.0641,1.6120,1.682
0.415000,-0.4724,-0.3023,1.4005,1.509
0.419000,-0.1738,-0.6652,0.8760,1.114
0.428000,-0.2633,-0.8848,0.0846,0.927
0.438000,0.0424,-0.9808,-0.4076,1.063
0.448000,-0.0737,-0.6948,-0.2478,0.741
0.458000,-0.2797,0.0632,-0.1745,0.336
0.470000,-0.3470,0.5292,-0.2434,0.678
0.479000,-0.4155,0.6088,-0.3276,0.807
0.488000,-0.2274,0.4770,-0.4685,0.706
0.498000,-0.1299,0.3402,-0.0086,0.364
0.515000,-0.3394,0.3630,0.6382,0.809
0.520000,-0.6607,0.3584,1.3491,1.544
0.528000,-0.3767,0.1025,1.0547,1.125
0.543000,-0.0057,-0.2766,0.1392,0.310
0.548000,0.0106,-0.3133,-0.0735,0.322
0.558000,-0.0863,0.0151,0.7653,0.770
0.570000,-0.6100,0.1572,1.6090,1.728
0.578000,-0.5600,-0.1494,1.1284,1.269
0.589000,-0.8723,-0.9904,1.0507,1.687
0.598000,-0.2425,-0.6365,0.4748,0.830
0.615000,-0.0422,-0.1198,0.2628,0.292
0.619000,-0.0345,-0.2179,-0.0139,0.221
0.628000,0.4208,-0.3800,-0.7112,0.910
0.640000,1.1514,-0.7882,-1.6104,2.131
0.648000,1.0287,-0.7538,-2.2137,2.555
0.659000,-0.1103,-1.2440,-0.8424,1.506
0.669000,1.3065,-1.1403,-3.0689,3.525
0.678000,0.9792,-0.7198,-2.1204,2.444
0.689000,0.8928,-0.3399,-2.1626,2.364
0.698000,0.6361,0.1749,-1.6960,1.820
0.715000,0.6616,0.3431,-0.2138,0.775
