time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011000,0.2939,0.0076,-0.1222,0.318
0.011000,0.2155,0.2002,-0.2057,0.359
0.012000,0.1614,0.2752,-0.0757,0.328
0.017000,0.1687,0.2749,0.1819,0.370
0.025000,0.5935,0.1973,-0.0559,0.628
0.039000,0.3971,-0.0813,-0.1001,0.417
0.045000,0.5109,-0.1456,0.1043,0.541
0.056000,0.6441,0.0614,-0.0577,0.650
0.076000,-0.3673,-0.7146,-0.2901,0.854
0.076000,-0.4350,-0.6837,-0.5816,0.998
0.086000,-0.0581,-0.4263,-0.0582,0.434
0.095000,0.2888,-0.1144,0.6286,0.701
0.116000,-0.0146,0.4908,0.6542,0.818
0.117000,-0.1028,0.4498,1.1494,1.239
0.126000,-0.0204,-0.0794,1.1563,1.159
0.145000,-0.0866,-0.3741,0.3827,0.542
0.146000,0.1133,-0.1596,-0.4532,0.494
0.161000,0.1135,0.0369,-0.6769,0.687
0.178000,0.2635,0.0891,-0.0802,0.290
0.179000,-0.0565,0.3156,0.4171,0.526
0.185000,-0.7633,0.5453,0.4807,1.054
0.195000,-1.1805,0.5496,0.4704,1.385
0.229000,-1.0175,0.3740,0.3968,1.154
0.230000,-0.7004,0.2389,0.4846,0.885
0.231000,-0.3589,-0.0121,0.1290,0.382
0.240000,-0.2359,-0.1375,0.2725,0.386
0.246000,0.0211,-0.0443,0.2609,0.266
0.257000,-0.5114,-0.0939,0.3888,0.649
0.279000,-0.2762,-0.2174,0.1017,0.366
0.280000,0.2155,-0.1467,-0.1095,0.283
0.287000,0.2356,-0.0656,-0.6404,0.686
0.297000,0.4268,0.0972,-0.9816,1.075
0.329000,0.7852,-0.0107,-1.2588,1.484
0.331000,1.5550,0.0101,-0.6841,1.699
0.333000,1.1373,-0.1932,-1.0108,1.534
0.340000,0.3697,-0.1343,-1.0225,1.096
0.347000,-0.5550,-0.0614,-0.2757,0.623
0.356000,-1.0920,0.1352,0.4545,1.191
0.368000,-0.9896,0.1119,0.8485,1.308
0.377000,-0.3847,-0.1263,0.5671,0.697
0.387000,-0.0445,-0.2568,0.7939,0.836
0.397000,0.2008,-0.2955,0.4838,0.601
0.414000,0.6358,-0.6671,0.5611,1.079
0.418000,0.7389,-0.5641,0.7474,1.193
0.426000,0.4611,-0.5478,1.5264,1.686
0.466000,-0.2855,-0.1918,1.6327,1.668
0.468000,-0.3560,-0.1274,1.4696,1.517
0.469000,-0.0435,0.0200,0.8781,0.879
0.469000,0.2177,0.0333,1.2232,1.243
0.477000,0.0815,-0.3823,1.6589,1.704
0.487000,-0.1815,-0.5448,1.5347,1.639
0.496000,0.2547,-0.5339,1.2223,1.358
0.514000,0.2546,-0.3355,0.3745,0.564
0.516000,0.9386,-0.6954,-0.4186,1.241
0.560000,1.2616,-0.6524,-0.0546,1.421
0.562000,0.0945,0.0400,1.5376,1.541
0.563000,-0.7726,1.0869,2.5836,2.907
0.566000,-1.2971,1.0962,3.0248,3.469
0.568000,-1.4387,-0.2037,2.9474,3.286
0.576000,-3.3554,-1.0463,2.2779,4.188
0.587000,-1.7888,-1.8512,2.3831,3.508
0.599000,-0.6708,-2.0854,0.9959,2.406
0.614000,-0.0949,-1.5300,-0.0525,1.534
0.616000,1.0288,-1.1256,-0.9509,1.797
0.627000,0.1936,-0.2422,-1.1943,1.234
0.662000,-0.1238,0.1998,-0.9614,0.990
0.664000,-0.5889,-0.2177,-1.5368,1.660
0.666000,-0.2700,-0.0441,-2.6080,2.622
0.668000,1.1146,1.0858,-2.1404,2.646
0.677000,2.0411,0.5890,-2.4019,3.207
0.686000,1.8901,0.6677,-2.1527,2.942
0.696000,1.0468,1.2206,-1.2959,2.065
0.705000,0.7708,1.3295,-0.7615,1.715
0.717000,0.5386,0.7186,-1.0297,1.366
0.730000,0.6504,-0.0315,-1.2631,1.421
0.737000,0.6789,-0.7097,-0.6198,1.161
0.745000,0.1487,-0.8635,0.2043,0.900
0.784000,1.0791,-0.3323,-0.6914,1.324
0.786000,1.3307,-0.2019,-1.2732,1.853
0.788000,0.2661,-0.0891,-0.8767,0.921
0.789000,0.5181,-0.5061,-1.1430,1.353
0.796000,0.1730,-1.2543,-1.3575,1.856
0.806000,-0.3854,-0.9896,-0.8797,1.379
0.816000,-1.0564,-0.8596,-0.6554,1.511
0.831000,-1.1139,-1.2169,-0.5169,1.729
0.837000,-1.5252,-1.8106,-0.5942,2.441
0.846000,-1.7586,-2.3087,-0.6819,2.981
0.884000,-1.6440,-1.8492,-0.3693,2.502
0.887000,-1.1582,-1.8331,-0.5206,2.230
0.889000,-1.0096,-1.6892,-1.1880,2.299
0.890000,-0.7494,-1.5913,-0.9037,1.977
0.896000,-0.4118,-1.2136,-1.1043,1.692
0.907000,-0.0945,-0.5655,-1.0558,1.201
0.916000,-0.1740,-0.4797,-1.2454,1.346
0.926000,0.0395,-0.4593,-0.8911,1.003
0.940000,0.1212,-0.4131,-1.1013,1.182
0.946000,0.0865,-0.2436,-1.0460,1.077
0.987000,-0.2844,-0.2764,-0.7384,0.838
0.989000,-0.6925,-0.2978,-0.4594,0.883
0.990000,-0.3112,0.0734,-0.3694,0.489
0.991000,-0.2116,-0.0028,-0.0878,0.229
0.996000,-0.7331,0.3735,0.5790,1.006
1.007000,0.0415,1.0012,0.3337,1.056
1.017000,-0.2929,0.2920,0.6571,0.776
1.026000,0.0640,0.0710,0.0906,0.132
1.041000,-0.0076,-0.2005,-0.3274,0.384
1.048000,0.0344,0.4912,-0.0944,0.501
1.089000,0.0103,0.4852,0.1838,0.519
1.090000,0.1968,0.3946,-0.0332,0.442
1.091000,0.8666,-1.7193,-0.2453,1.941
1.092000,0.1492,-0.6080,-0.3678,0.726
1.096000,0.8096,-1.1880,-0.6137,1.563
1.106000,0.3349,-0.9770,-0.0680,1.035
1.116000,0.6270,-1.0949,-0.2572,1.288
1.126000,0.9340,-0.7536,-0.4988,1.300
1.136000,1.6795,-1.6263,-0.1955,2.346
1.146000,1.0750,-1.8487,-0.7703,2.273
1.158000,0.3955,-1.0757,-0.1308,1.154
1.166000,-0.0492,-1.2115,0.4553,1.295
1.176000,-0.0797,-1.1594,0.7350,1.375
1.225000,-0.2229,-1.0570,0.3862,1.147
1.227000,-0.3006,-1.0974,0.6177,1.295
1.229000,-0.6019,-1.1066,0.6026,1.396
1.229000,-0.4892,-0.1883,0.5231,0.741
1.230000,-1.1199,4.0670,2.1735,4.745
1.237000,-1.6097,7.5361,1.4739,7.846
1.246000,-1.5161,5.9560,0.5546,6.171
1.256000,-0.1202,2.7250,-0.1132,2.730
1.266000,0.8482,-3.1893,0.5611,3.348
1.276000,1.5993,-3.7035,-4.0486,5.715
1.318000,1.8214,-3.0919,-5.4119,6.494
1.320000,0.7753,-0.2834,-3.5645,3.659
1.322000,0.3140,2.9278,-2.2268,3.692
1.323000,0.0656,3.2059,-0.3517,3.226
1.327000,-0.3069,3.1192,0.0103,3.134
1.337000,-0.3066,2.6362,-0.4870,2.698
1.346000,-0.7622,1.4548,0.2129,1.656
1.358000,-1.5668,1.9211,-1.7476,3.033
1.367000,-2.3156,0.7892,-2.5327,3.521
1.376000,-3.1253,0.5681,-3.4494,4.689
1.387000,-1.5910,-0.0795,1.8013,2.405
1.397000,-0.5432,0.9163,2.1462,2.396
1.419000,1.3637,-0.7449,3.2523,3.604
1.420000,0.9466,-1.0548,3.0674,3.379
1.427000,-1.0117,-0.5256,2.1219,2.409
1.438000,1.5589,-0.0862,-0.7999,1.754
1.447000,-2.3230,-0.4271,-4.0219,4.664
1.459000,-0.1028,-0.8364,0.6600,1.070
1.467000,0.5925,-0.1320,0.3655,0.709
1.478000,1.3342,-0.3930,-0.9037,1.659
1.519000,0.7975,-0.4772,-1.9595,2.169
1.522000,-0.4728,-0.0696,-2.2990,2.348
1.524000,0.7664,-0.0947,-3.4218,3.508
1.525000,2.9409,-0.0541,-3.8288,4.828
1.527000,3.1753,0.5146,-2.3768,4.000
1.537000,3.4574,0.2086,-0.8186,3.559
1.546000,3.5421,-0.3593,2.4675,4.332
1.559000,2.6523,0.2144,5.2990,5.930
1.566000,1.5384,-0.3537,3.4824,3.823
1.577000,0.3405,-0.1300,1.7970,1.834
1.592000,-0.1187,-0.0157,2.0729,2.076
1.596000,0.8663,-0.6863,1.7387,2.060
1.637000,1.6690,-0.3225,1.8954,2.546
1.639000,1.4621,-0.2890,3.4128,3.724
1.641000,1.7614,-0.6050,4.6931,5.049
1.642000,3.6466,-0.6621,0.6707,3.766
1.646000,0.6099,0.3631,-3.3788,3.453
1.656000,0.1751,0.3199,-4.6939,4.708
1.667000,-0.8135,-0.3894,-1.9336,2.134
1.677000,-1.3989,-0.4612,-0.3935,1.525
1.688000,-1.8070,-0.0629,0.0696,1.809
1.697000,-2.3893,-0.0187,0.1473,2.394
1.711000,-2.0368,0.1884,1.3980,2.478
1.716000,-1.7463,0.5435,0.5880,1.921
1.774000,-1.0894,-0.2995,-3.3318,3.518
1.777000,0.0051,-0.9989,-4.5626,4.671
1.778000,0.1378,0.0215,-1.0722,1.081
1.779000,0.1756,0.7217,0.2197,0.775
1.779000,-0.6023,0.7465,-1.8673,2.099
1.780000,0.7656,0.0914,-0.1355,0.783
1.785000,0.7251,0.1449,1.2800,1.478
1.796000,0.2212,1.1316,-0.2847,1.188
1.809000,0.7248,0.6676,-0.6876,1.202
1.815000,0.6147,0.7259,-1.0104,1.388
1.857000,0.1450,0.5881,-0.4723,0.768
1.859000,0.7198,-0.1962,-0.1181,0.755
1.860000,0.3426,-0.0469,0.4496,0.567
1.860000,0.2828,0.6579,0.2327,0.753
1.867000,0.2113,-0.2988,0.1578,0.399
1.877000,-0.2880,-0.3888,-0.5140,0.706
1.888000,-0.5493,-0.0192,-0.2702,0.612
1.896000,-0.5353,-0.0663,-0.4650,0.712
1.905000,-0.1819,-0.1759,0.0640,0.261
1.917000,0.2853,-0.3673,0.1427,0.486
1.926000,0.2062,-0.2426,0.0592,0.324
1.944000,-0.1510,-0.1032,-0.1787,0.256
1.947000,-0.4625,0.2376,-0.6825,0.858
1.992000,-0.5137,0.1813,-0.7306,0.911
1.994000,-0.2066,-0.1720,-0.6009,0.658
1.995000,0.1024,0.1113,-0.4504,0.475
1.996000,0.8910,0.0732,-0.3541,0.962
1.997000,1.0245,0.1642,-0.1684,1.051
2.015000,1.2989,0.8349,-0.4021,1.596
2.016000,1.6474,2.2001,-1.7104,3.237
2.033000,2.7349,1.4780,-2.1346,3.771
2.050000,1.8665,1.3421,-1.9095,2.989
2.051000,1.6515,-1.1522,0.0344,2.014
2.106000,-0.0718,-3.0798,2.4990,3.967
2.107000,-2.9972,-0.5557,2.4516,3.912
2.109000,-2.5957,-0.8790,1.6091,3.178
2.110000,-1.4910,0.1799,0.7928,1.698
2.111000,-0.1599,0.2758,-0.2248,0.390
2.111000,0.6316,-0.0070,-1.1991,1.355
2.116000,1.1081,0.0262,-0.8754,1.412
2.131000,0.8491,-0.0311,-0.7813,1.154
2.179000,0.6538,0.5724,-0.3485,0.936
2.181000,1.3315,-0.1213,0.2725,1.364
2.182000,1.8757,0.0521,2.4513,3.087
2.183000,1.6806,1.3644,4.5933,5.078
2.184000,2.6045,0.2330,4.3771,5.099
2.191000,2.3357,1.0967,3.5646,4.401
2.196000,1.3448,-0.1860,-1.3025,1.881
2.206000,0.1633,0.8584,-5.4723,5.542
2.216000,1.5628,0.9817,-4.5715,4.930
2.225000,2.6465,-0.3915,-2.6039,3.733
2.236000,-0.2953,0.2133,-0.2041,0.418
2.247000,-0.1619,-0.1071,0.6006,0.631
2.292000,0.0865,-1.0712,0.7785,1.327
2.293000,-2.3518,-1.0971,0.0733,2.596
2.295000,-2.9058,-2.7206,-0.4648,4.008
2.296000,-1.9640,-3.6187,-0.2695,4.126
2.298000,-1.4774,-3.3755,-0.5661,3.728
2.305000,-1.7185,-2.8535,-1.2222,3.548
2.315000,-1.5477,-2.4562,-1.4921,3.264
2.326000,-1.0757,-1.7043,-1.5274,2.529
2.335000,-0.8319,-0.4825,-0.9620,1.360
2.345000,0.3686,-0.1890,-0.3738,0.558
2.360000,0.8988,1.2683,1.6250,2.249
2.367000,2.9395,1.3210,2.4247,4.033
2.409000,1.5426,1.6381,1.1413,2.523
2.411000,2.4889,2.9925,1.4605,4.157
2.413000,2.8707,2.1337,-1.5576,3.901
2.414000,2.3568,1.0385,-1.3814,2.923
2.416000,1.8800,1.0241,-0.0119,2.141
2.436000,0.6186,0.9142,-0.0539,1.105
2.450000,0.4837,0.5403,0.3752,0.816
2.451000,0.7528,0.3332,0.0635,0.826
2.459000,0.9471,-0.1522,0.1550,0.972
2.465000,1.1011,-0.3460,-0.2415,1.179
2.495000,1.3774,-0.3867,-0.1545,1.439
2.496000,1.3297,-0.3884,0.1568,1.394
2.497000,1.1565,-0.2603,0.2449,1.210
2.506000,0.8729,-0.2183,0.0493,0.901
2.516000,0.6856,-0.2524,0.0289,0.731
2.528000,0.6195,-0.3095,0.0844,0.698
2.537000,0.4002,-0.3041,0.1192,0.517
2.547000,0.0626,-0.4466,0.1046,0.463
2.556000,-0.1165,-0.5167,0.2697,0.594
2.566000,-0.1147,-0.5302,0.1624,0.566
2.576000,0.2018,-0.6059,0.0900,0.645
2.586000,0.5894,-0.5864,-0.1206,0.840
2.597000,0.7954,-0.3567,-0.1444,0.884
2.648000,1.0148,-0.1370,-0.0253,1.024
2.649000,1.3187,0.0680,0.2460,1.343
2.650000,1.6517,0.1628,0.5585,1.751
2.651000,1.9117,0.1284,0.7008,2.040
2.652000,1.9219,0.2332,0.7523,2.077
2.658000,2.3464,0.3003,0.8075,2.500
2.667000,2.2446,0.3732,0.7868,2.408
2.677000,1.8402,0.3086,0.8794,2.063
2.686000,1.2353,0.3411,0.9738,1.610
2.698000,0.7917,0.2499,0.9711,1.278
2.745000,0.6585,0.2020,0.9991,1.214
2.746000,0.5662,0.2589,1.0583,1.228
2.747000,0.3691,0.1374,0.7418,0.840
2.748000,0.6562,0.0620,0.3734,0.758
2.749000,0.7878,0.0088,0.3693,0.870
2.757000,1.1675,0.1462,0.5502,1.299
2.765000,1.3236,0.3210,0.6313,1.501
2.775000,1.3317,0.6343,0.7301,1.646
2.785000,1.4995,0.7852,0.9578,1.945
2.796000,1.2945,0.8126,0.9658,1.808
2.805000,0.9648,0.7554,0.7755,1.450
2.846000,0.9287,0.5079,0.4289,1.142
2.847000,0.7216,0.2712,0.2040,0.797
2.848000,0.5856,0.1032,-0.1635,0.617
2.849000,0.6264,-0.1061,-0.4000,0.751
2.858000,0.2890,-0.5198,-0.6758,0.900
2.866000,-0.2343,-0.5164,-0.8326,1.007
2.875000,-0.6618,-0.5089,-0.9759,1.284
2.885000,-1.1971,-0.5451,-0.9550,1.625
2.895000,-1.4475,-0.5445,-0.8720,1.775
2.906000,-1.7423,-0.3679,-0.5558,1.865
2.922000,-1.4921,-0.4848,-0.5392,1.659
2.930000,-1.3263,-0.4452,-0.4506,1.470
2.937000,-0.9136,-0.1095,-0.6711,1.139
2.972000,-0.6285,0.1832,-0.7168,0.971
2.974000,-0.5952,0.3762,-0.6578,0.964
2.975000,-0.7554,0.4359,-0.6373,1.080
2.976000,-0.8372,0.4528,-0.5675,1.108
2.987000,-0.8966,0.3918,-0.5262,1.111
2.996000,-0.8330,0.4161,-0.4200,1.021
3.013000,-0.8326,0.1761,-0.3819,0.933
3.017000,-0.7658,-0.1317,-0.4800,0.913
3.058000,-0.6138,-0.1288,-0.5816,0.855
3.059000,-0.4439,-0.1165,-0.8269,0.946
3.060000,-0.4619,-0.1330,-1.1300,1.228
3.061000,-0.3752,-0.2023,-1.2947,1.363
3.066000,-0.3324,-0.2670,-1.2389,1.310
3.076000,-0.3866,-0.4090,-1.0520,1.193
3.087000,-0.3218,-0.6376,-0.9450,1.185
3.097000,-0.3644,-0.8237,-0.9287,1.294
3.108000,-0.3849,-0.9334,-0.7311,1.247
3.116000,-0.2253,-0.9094,-0.7060,1.173
3.127000,-0.2689,-0.9096,-0.6290,1.138
3.136000,-0.2433,-0.8193,-0.7150,1.114
3.148000,-0.1245,-0.6769,-0.6238,0.929
3.156000,-0.0849,-0.5734,-0.6140,0.844
3.201000,-0.0658,-0.5278,-0.5220,0.745
3.203000,-0.0767,-0.3963,-0.4922,0.637
3.204000,-0.2066,-0.3023,-0.3693,0.520
3.204000,-0.4351,-0.2657,-0.3304,0.608
3.207000,-0.6374,-0.2868,-0.2882,0.756
3.216000,-0.7384,-0.2559,-0.4139,0.884
3.230000,-0.7549,-0.2734,-0.4477,0.919
3.237000,-1.0104,-0.2571,-0.4773,1.147
3.283000,-0.9768,-0.7188,-0.7292,1.415
3.284000,-1.0990,-0.8729,-0.6054,1.528
3.286000,-1.2294,-1.0116,-0.5529,1.685
3.288000,-1.2711,-0.9254,-0.5404,1.663
3.289000,-1.2259,-0.6004,-0.3954,1.421
3.298000,-1.1935,-0.2997,-0.2859,1.263
3.309000,-1.0423,-0.2431,-0.5089,1.185
3.316000,-0.7617,-0.4441,-0.6557,1.099
3.327000,-0.6519,-0.7188,-0.6609,1.174
3.336000,-0.3750,-1.1962,-0.9345,1.564
3.348000,-0.2064,-1.6278,-0.8057,1.828
3.356000,0.0746,-2.0043,-0.6652,2.113
3.404000,0.1174,-2.2361,-0.5995,2.318
3.406000,0.1359,-2.2428,-0.6100,2.328
3.407000,0.4678,-2.3459,-0.6528,2.480
3.409000,0.6751,-2.1127,-0.3978,2.253
3.411000,0.6810,-1.9357,-0.4726,2.106
3.417000,0.8812,-1.7139,-0.5928,2.016
3.427000,1.1711,-1.6973,-1.0588,2.318
3.436000,1.2075,-1.9765,-1.5738,2.800
3.451000,1.1956,-2.2004,-1.6467,2.997
3.456000,1.1201,-2.4135,-1.8374,3.234
3.504000,1.1178,-2.3349,-2.0036,3.273
3.507000,1.5296,-2.4692,-2.4067,3.772
3.509000,1.1722,-2.2053,-3.2277,4.081
3.512000,0.9680,-2.7269,-3.3481,4.425
3.514000,0.6693,-3.1209,-3.2980,4.590
3.517000,0.7782,-3.1890,-2.4160,4.076
3.527000,0.8600,-3.1764,-1.7628,3.733
3.537000,0.5324,-3.0221,-1.3789,3.364
3.548000,0.6157,-3.0325,-1.3175,3.363
3.556000,0.5806,-2.9093,-1.4133,3.286
3.567000,0.7804,-3.0460,-1.2011,3.366
3.622000,1.0236,-3.1005,-1.0945,3.444
3.625000,0.7455,-3.2519,-0.5501,3.381
3.626000,0.7244,-3.3167,-0.6157,3.450
3.629000,0.8323,-3.0043,-0.1489,3.121
3.630000,0.9149,-2.3106,-0.0729,2.486
3.632000,0.9033,-2.0108,-0.5283,2.267
3.637000,0.6221,-1.3333,-0.3035,1.502
3.647000,0.9530,-1.1572,-0.6366,1.629
3.665000,0.9765,-1.0739,-1.1333,1.842
3.667000,0.7905,-0.9962,-1.5326,1.992
3.718000,0.8584,-0.5389,-1.7203,1.997
3.719000,0.6190,-0.7423,-1.7915,2.036
3.721000,0.5016,-0.1612,-0.6014,0.800
3.721000,0.5047,-0.2890,-0.7680,0.963
3.723000,0.5433,-0.7456,-1.2623,1.563
3.728000,0.4034,-1.3835,-1.3782,1.994
3.737000,0.5475,-1.6171,-1.2503,2.116
3.747000,0.7462,-1.8289,-1.2510,2.338
3.767000,1.0535,-2.0565,-1.0815,2.551
3.769000,1.3015,-2.0741,-1.0399,2.660
3.819000,1.4889,-1.8402,-0.9243,2.541
3.821000,1.4991,-1.4502,-0.9898,2.309
3.823000,1.0942,-1.1649,-0.9984,1.884
3.825000,1.1581,-1.1504,-0.8795,1.854
3.828000,1.0307,-1.1445,-0.8083,1.739
3.829000,0.0382,-1.6264,-0.8272,1.825
3.836000,0.1391,-1.7295,-0.6340,1.847
3.847000,-0.2868,-1.5991,-0.4500,1.686
3.855000,-0.5273,-1.7261,-0.3811,1.845
3.867000,-0.5243,-1.3319,0.1330,1.438
3.883000,-0.2385,-0.7465,0.3277,0.849
3.886000,0.1363,0.0373,0.6924,0.707
3.937000,0.1807,0.7754,1.2115,1.450
3.939000,-0.1311,1.2879,1.5467,2.017
3.940000,-0.2191,1.2218,1.8692,2.244
3.942000,-0.0872,0.7287,1.7905,1.935
3.944000,-0.1142,-0.0652,1.3372,1.344
3.947000,0.3796,-0.5212,1.1748,1.340
3.957000,0.6343,-0.2263,1.2858,1.451
3.967000,0.8925,-0.0353,1.3727,1.638
3.977000,0.6150,0.0552,1.4238,1.552
3.986000,0.6951,-0.0750,1.5018,1.657
3.996000,0.1395,-0.1774,1.6249,1.641
4.006000,0.1114,-0.0972,2.1102,2.115
4.021000,0.1806,-0.1261,1.9587,1.971
4.073000,0.1792,-0.0117,2.0821,2.090
4.075000,0.0157,0.5284,2.2067,2.269
4.076000,-0.2720,0.9271,2.0328,2.251
4.078000,-1.1328,0.9121,2.1156,2.567
4.079000,-1.6454,0.6030,2.5710,3.111
4.080000,-1.9238,0.1911,2.9598,3.535
4.086000,-2.5977,-0.1892,2.9427,3.930
4.096000,-2.4336,-0.4918,3.4601,4.259
4.106000,-2.4630,-0.4139,4.5394,5.181
4.122000,-3.2427,1.3631,5.4018,6.446
4.179000,-3.5678,2.5821,5.3875,6.959
4.182000,-4.5034,3.3208,5.2467,7.670
4.183000,-2.9984,3.5627,5.4876,7.197
4.185000,-0.8292,8.6196,-2.4425,8.997
4.186000,1.1910,4.2453,18.1620,18.690
4.188000,-6.2810,-4.0558,14.5787,16.384
4.190000,-3.3682,-3.8986,1.9521,5.509
4.198000,-1.0276,-3.0126,1.6165,3.570
4.206000,-3.0561,-0.0110,5.3629,6.173
4.220000,-4.8784,2.4057,6.4137,8.410
4.262000,-6.1018,4.1129,5.7618,9.346
4.264000,-6.6156,5.5628,4.5305,9.759
4.266000,-5.9280,6.3100,3.6552,9.398
4.267000,-3.6534,5.8870,2.4967,7.365
4.269000,-2.4225,4.9968,3.0290,6.325
4.277000,-2.3630,3.6871,2.8723,5.237
4.286000,-2.6177,2.5274,2.8844,4.643
4.296000,-2.1159,1.4731,2.2178,3.401
4.306000,-1.6046,0.6916,1.8635,2.555
4.316000,-1.1099,0.1928,1.4875,1.866
4.325000,-0.6314,0.1538,1.2683,1.425
4.369000,-0.3847,0.1443,0.8798,0.971
