action,t_max_avg
stand,3.1342
jog,33.463
stand,2.5088
run,49.386199999999995
walk,9.7198
stand,2.7628
walk,9.1024
stand,2.5656
walk,12.3192
walk,8.7136
walk,12.141
walk,11.0158
jog,24.528799999999997
walk,10.0412
stand,2.851
run,44.3014
walk,12.2514
walk,9.475999999999999
walk,9.3288
jog,25.7714
jog,26.321999999999996
jog,28.6222
stand,2.0667999999999997
jog,23.912
jog,28.031600000000005
jog,31.0388
jog,28.165399999999998
run,50.6214
stand,2.4364
run,51.592
run,50.9982
walk,10.193999999999999
jog,26.0146
