time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-0.7686,0.8503,-0.8867,1.449
0.008000,-0.9344,0.7484,-0.9029,1.499
0.026000,-1.1249,0.6897,-1.1682,1.762
0.030000,-1.3403,0.8339,-1.2242,1.998
0.084000,-0.9745,1.0678,-0.9571,1.734
0.086000,-0.7892,1.3311,-0.8438,1.763
0.088000,-0.6218,1.7009,-0.8351,1.994
0.091000,-0.4539,1.9852,-0.6362,2.134
0.092000,-0.2817,2.1759,-0.1096,2.197
0.093000,-0.2078,2.0418,0.5423,2.123
0.108000,-0.4268,1.5736,0.8327,1.831
0.110000,-0.5340,1.2646,0.4913,1.458
0.119000,-0.8086,0.9374,0.1730,1.250
0.128000,-0.9682,0.9362,-0.3718,1.397
0.213000,-1.0434,1.0866,-1.0603,1.842
0.215000,-1.2417,1.5211,-1.3793,2.400
0.217000,-1.0351,1.7699,-1.3525,2.456
0.220000,-0.7991,1.6054,-0.8987,2.006
0.221000,-1.7758,0.4777,-0.2374,1.854
0.223000,-1.4252,1.0110,0.5754,1.840
0.224000,-1.5965,1.5243,1.4578,2.645
0.225000,-1.5965,1.5243,1.4578,2.645
0.226000,-1.9842,0.8529,0.8551,2.323
0.228000,-1.1558,-0.6548,-0.1926,1.342
0.229000,-1.7137,-0.7259,-0.5368,1.937
0.243000,-2.2395,-1.1253,-0.4395,2.545
0.246000,-2.5784,-1.9224,-0.1493,3.220
0.331000,-2.9928,-2.0443,0.4066,3.647
0.333000,-2.3671,-1.7108,0.3974,2.948
0.334000,-2.5667,-1.1681,0.2584,2.832
0.336000,-2.3990,-1.0518,-0.3230,2.639
0.338000,-2.4206,-0.9258,-1.0519,2.797
0.340000,-2.8880,-0.4786,-1.4860,3.283
0.341000,-3.0393,-0.5086,-2.5010,3.969
0.343000,-3.3171,-1.3022,-4.5437,5.774
0.344000,-3.4712,-1.6124,-5.2725,6.515
0.346000,-3.4712,-1.6124,-5.2725,6.515
0.347000,-4.1831,-1.9719,-5.2442,6.992
0.362000,-4.2942,-2.9911,-4.6090,6.973
0.443000,-3.8860,-3.0382,-3.0899,5.821
0.448000,-3.6828,-3.1216,-2.2173,5.313
0.453000,-3.0464,-3.5112,-1.5636,4.904
0.455000,-2.4074,-2.9863,-2.2885,4.467
0.456000,-2.2494,-2.3404,-2.6639,4.199
0.458000,-2.2494,-2.3404,-2.6639,4.199
0.459000,-1.8076,-2.2276,-2.7045,3.943
0.461000,-0.8304,-2.2139,-0.7092,2.469
0.462000,-0.6826,-2.0835,0.7379,2.313
0.463000,-0.9585,-2.7835,0.1557,2.948
0.464000,-1.2057,-2.8426,2.0726,3.719
0.466000,-1.6870,-3.4840,1.6555,4.210
0.481000,-2.2600,-4.5799,0.7741,5.166
0.483000,-2.2600,-4.5799,0.7741,5.166
0.551000,-2.2915,-5.3861,0.5620,5.880
0.553000,-1.8358,-5.7748,0.4658,6.077
0.554000,-1.0246,-5.8378,-0.0972,5.928
0.556000,-1.1659,-5.6135,0.2915,5.741
0.557000,1.6443,-5.6519,0.9503,5.962
0.558000,2.9606,-5.9295,0.8030,6.676
0.559000,3.7142,-4.8472,0.6979,6.146
0.561000,4.6055,-4.6359,1.2397,6.651
0.621000,4.2976,-4.8184,1.0620,6.543
0.627000,3.9868,-5.4658,0.2540,6.770
0.634000,3.3610,-5.6436,-0.7884,6.616
0.639000,3.2471,-5.2541,-1.2590,6.304
0.644000,3.5543,-5.2264,-1.7679,6.563
0.649000,4.4585,-4.0465,-1.8427,6.297
0.655000,5.5875,-3.1703,-1.8729,6.692
0.660000,6.7134,-2.1360,-1.8291,7.279
0.665000,7.4701,-1.3600,-2.0319,7.860
0.670000,7.8143,-1.1047,-2.4106,8.252
0.676000,7.7041,-0.6361,-2.8945,8.254
0.681000,7.1660,-0.3748,-3.2808,7.890
0.690000,6.7348,0.4087,-3.8853,7.786
0.697000,6.5145,2.1409,-3.9251,7.901
0.713000,7.6079,3.4765,-3.5297,9.079
0.718000,8.6304,4.8636,-3.3394,10.454
0.805000,9.3180,6.0059,-3.5863,11.652
0.812000,10.1146,6.5665,-4.2622,12.790
0.817000,10.6560,6.9487,-4.6757,13.553
0.823000,11.0949,7.2775,-5.0301,14.190
0.828000,11.4189,7.6351,-5.1611,14.674
0.834000,11.7598,8.0055,-4.8315,15.024
0.839000,12.0249,8.3609,-4.2629,15.254
0.844000,11.9178,8.3679,-3.7051,15.026
0.850000,11.4515,7.9500,-3.1070,14.283
0.856000,10.2626,7.0467,-2.5547,12.708
0.862000,8.4879,6.4305,-2.3393,10.903
0.867000,6.5607,5.7378,-2.0861,8.962
0.871000,6.5607,5.7378,-2.0861,8.962
0.875000,4.7575,5.6474,-1.6779,7.572
0.880000,3.0308,5.5010,-1.3869,6.432
0.885000,1.3001,5.3872,-0.8941,5.614
0.890000,-0.1452,5.2903,-0.2548,5.298
0.893000,-1.2404,5.0706,0.4118,5.236
0.897000,-1.8624,5.1826,1.2284,5.642
0.912000,-2.6288,4.9803,1.3115,5.782
0.914000,-2.6288,4.9803,1.3115,5.782
0.917000,-3.2542,5.1504,1.2519,6.220
0.939000,-3.9815,5.0934,1.0048,6.542
0.942000,-4.8137,4.9746,0.8876,6.979
0.948000,-5.4372,4.6544,1.0514,7.234
1.050000,-5.5099,4.1184,1.4534,7.031
1.056000,-5.3836,4.1004,3.4932,7.616
1.059000,-5.1491,3.4465,4.1041,7.432
1.061000,-5.1491,3.4465,4.1041,7.432
1.063000,-4.7837,3.1842,4.6523,7.394
1.066000,-4.1979,2.8930,5.0920,7.206
1.069000,-3.5862,2.7119,5.4606,7.073
1.072000,-2.8030,2.5415,5.5668,6.731
1.075000,-2.0497,1.9859,5.4134,6.120
1.077000,-1.1161,1.6982,5.8401,6.184
1.080000,0.7916,1.3081,6.1037,6.292
1.082000,2.9456,1.3482,6.3379,7.118
1.084000,5.0858,0.9101,5.9230,7.860
1.086000,7.5832,0.2310,5.2826,9.245
1.091000,10.0612,0.2181,4.1812,10.898
1.100000,11.6432,-0.2604,3.1386,12.062
1.118000,12.3822,-1.0983,2.0595,12.600
1.122000,12.6404,-1.7258,1.0350,12.800
1.124000,12.6404,-1.7258,1.0350,12.800
1.238000,14.2004,-2.8407,-0.5626,14.493
1.243000,15.6013,-4.1565,-1.1892,16.189
1.247000,16.1433,-5.4921,-1.6946,17.136
1.250000,16.2888,-5.9860,-1.9428,17.462
1.253000,15.7573,-5.8950,-3.2261,17.130
1.264000,15.3924,-6.1354,-2.3484,16.736
1.267000,13.5799,-6.8588,-1.9815,15.342
1.280000,11.3859,-8.0419,-0.7843,13.962
1.282000,9.2102,-9.2073,0.2493,13.026
1.284000,7.0832,-10.0083,0.8954,12.294
1.286000,5.1995,-10.6172,0.9361,11.859
1.288000,1.3341,-11.4961,-1.1779,11.633
1.290000,-0.5586,-11.7391,-2.8053,12.083
1.292000,-1.9315,-11.6962,-3.9073,12.482
1.294000,-3.1501,-11.5839,-4.9235,12.975
1.296000,-4.1981,-11.5248,-5.6889,13.521
1.298000,-4.8121,-11.3009,-6.7737,14.027
1.300000,-5.4601,-10.8685,-7.3513,14.212
1.308000,-5.9221,-10.4402,-7.4113,14.107
1.321000,-6.0372,-10.1262,-6.5451,13.484
1.336000,-5.9570,-10.0003,-4.9921,12.665
1.341000,-5.7576,-9.9996,-3.5893,12.084
1.428000,-5.4235,-9.8857,-2.3848,11.525
1.430000,-5.2662,-9.5697,-1.4473,11.019
1.432000,-5.0909,-8.4703,-1.1704,9.952
1.434000,-4.6734,-8.0539,-1.7182,9.469
1.436000,-4.3420,-7.1893,-1.3601,8.508
1.437000,-4.4187,-6.8379,-1.5898,8.295
1.439000,-4.2872,-6.9569,-1.2783,8.271
1.443000,-4.2872,-6.9569,-1.2783,8.271
1.444000,-4.1838,-6.9994,-0.8632,8.200
1.446000,-3.6760,-6.6336,-0.1218,7.585
1.447000,-2.3102,-6.1374,0.3554,6.567
1.451000,-0.2591,-4.7858,0.3535,4.806
1.466000,2.3491,-3.6128,-0.8074,4.384
1.471000,4.5814,-2.0110,-1.2794,5.164
1.548000,7.3504,0.0508,-1.0130,7.420
1.551000,9.9496,2.0852,-0.2159,10.168
1.553000,12.0205,3.2400,0.7414,12.472
1.555000,14.6545,3.7255,3.6025,15.544
1.560000,14.3456,4.7680,4.7166,15.836
1.562000,12.7692,5.5369,5.8334,15.091
1.564000,10.3359,5.6065,6.5477,13.459
1.566000,7.7768,5.1226,6.3966,11.298
1.569000,5.2302,4.4537,5.7563,8.962
1.571000,2.8484,4.2990,4.3922,6.774
1.579000,0.5412,4.9632,2.4211,5.549
1.588000,-1.1005,4.4815,0.9679,4.715
1.604000,-2.8571,4.5058,-0.1195,5.337
1.606000,-3.9168,4.7602,-0.3525,6.175
1.680000,-4.4751,4.6733,0.0485,6.471
1.685000,-4.4751,4.6733,0.0485,6.471
1.686000,-4.7411,5.1783,1.1331,7.112
1.688000,-5.0147,4.8914,2.1945,7.341
1.691000,-5.1230,4.5629,3.6117,7.753
1.692000,-5.4931,4.4147,4.6313,8.433
1.694000,-5.6198,4.2352,5.2053,8.753
1.696000,-5.3815,4.0410,5.3633,8.606
1.698000,-5.3325,3.8058,5.2292,8.382
1.700000,-5.3325,3.8058,5.2292,8.382
1.701000,-5.0984,3.8413,4.9703,8.090
1.742000,-4.8664,3.6750,4.8673,7.802
1.744000,-4.9953,3.3092,4.8708,7.722
1.746000,-4.9107,2.5085,4.2115,6.939
1.748000,-5.0528,1.7969,4.3596,6.911
1.751000,-5.0302,0.9650,4.5172,6.829
1.759000,-4.8019,0.0013,5.0365,6.959
1.768000,-3.9150,-0.0557,5.5458,6.789
1.787000,-2.7823,0.0680,5.9729,6.589
1.790000,1.2668,2.6405,6.3795,7.020
1.869000,3.4263,3.9809,5.7668,7.800
1.871000,5.7899,4.9297,5.6167,9.454
1.874000,8.7264,6.0310,5.1493,11.792
1.877000,13.0866,6.3320,3.7431,15.012
1.878000,13.0866,6.3320,3.7431,15.012
1.880000,17.1741,5.5935,1.7312,18.145
1.882000,20.4747,4.4111,-0.6994,20.956
1.884000,21.3934,2.9847,-2.2804,21.721
1.886000,20.2360,2.3419,-3.7908,20.721
1.887000,17.7426,1.5382,-4.4153,18.348
1.889000,14.4099,0.3507,-3.2852,14.784
1.901000,11.3392,-1.8288,-1.1968,11.548
1.919000,8.0813,-3.7542,0.2405,8.914
1.922000,5.4717,-5.2089,1.2132,7.651
1.932000,3.2181,-6.4214,1.2142,7.285
1.938000,0.9161,-7.4719,0.0520,7.528
1.998000,-0.9732,-8.2279,-1.6554,8.449
2.001000,-2.2022,-8.8728,-4.0520,10.000
2.003000,-3.1913,-8.7370,-5.9090,11.020
2.006000,-4.1367,-8.5002,-7.3881,11.998
2.009000,-4.6417,-8.3805,-8.0441,12.509
2.012000,-5.0682,-8.5692,-7.7880,12.640
2.014000,-5.4667,-8.9176,-7.0445,12.611
2.029000,-5.6283,-9.4314,-5.4055,12.241
2.033000,-5.8340,-9.9587,-3.4372,12.043
2.037000,-6.1583,-10.7060,-1.5977,12.454
2.150000,-6.4999,-11.1256,0.0974,12.886
2.157000,-6.4999,-11.1256,0.0974,12.886
2.161000,-7.1064,-11.8715,1.5940,13.927
2.167000,-7.2946,-11.8418,1.7953,14.024
2.173000,-7.1003,-11.8368,1.6664,13.903
2.179000,-6.6074,-11.2860,1.4667,13.160
2.184000,-5.4726,-10.0514,1.9555,11.611
2.190000,-3.7239,-9.6764,2.1797,10.595
2.192000,-1.8897,-8.0659,3.4483,8.973
2.194000,-1.8897,-8.0659,3.4483,8.973
2.195000,0.6130,-6.7012,3.8089,7.732
2.196000,3.7979,-4.5148,3.8988,7.072
2.198000,8.0528,-2.3601,2.5962,8.784
