time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.7526,0.3620,0.6515,1.059
0.018000,0.5668,0.4077,0.5076,0.863
0.019000,0.5668,0.4077,0.5076,0.863
0.021000,0.5237,0.2363,0.6100,0.838
0.028000,0.6279,0.2362,0.7059,0.974
0.037000,0.7285,0.2769,0.8556,1.157
0.059000,1.0213,0.3250,0.6855,1.272
0.060000,1.0213,0.3250,0.6855,1.272
0.061000,1.6042,0.4767,0.5855,1.773
0.070000,1.0610,0.5658,0.8238,1.458
0.071000,1.0610,0.5658,0.8238,1.458
0.074000,1.0246,0.5744,0.5002,1.277
0.086000,1.1954,0.3532,0.2529,1.272
0.095000,1.1336,0.2829,0.3815,1.229
0.112000,1.2069,0.2045,0.6371,1.380
0.113000,1.2069,0.2045,0.6371,1.380
0.114000,1.4895,-0.1370,0.5160,1.582
0.129000,1.4302,-0.0983,0.6345,1.568
0.130000,1.4302,-0.0983,0.6345,1.568
0.131000,1.3823,-0.3817,0.4572,1.505
0.151000,1.4958,-0.4630,0.2387,1.584
0.152000,1.4958,-0.4630,0.2387,1.584
0.154000,1.1511,-0.6184,-0.0259,1.307
0.167000,0.5560,-0.5636,-0.0553,0.794
0.171000,0.3997,-0.4467,-0.3299,0.684
0.189000,0.3112,-0.4308,-0.3503,0.637
0.190000,0.3112,-0.4308,-0.3503,0.637
0.196000,0.2522,-0.4105,-0.5190,0.708
0.210000,-1.0047,-0.6093,-0.3064,1.214
0.212000,-1.0047,-0.6093,-0.3064,1.214
0.214000,-1.5625,-1.0441,-0.0887,1.881
0.228000,-1.3419,-1.0962,-0.5408,1.815
0.230000,-0.9802,-0.7735,-0.5241,1.354
0.251000,-0.7718,-0.5704,0.0508,0.961
0.252000,-0.7718,-0.5704,0.0508,0.961
0.255000,-0.3568,-0.6427,0.1932,0.760
0.268000,-0.2635,-0.5130,-0.0854,0.583
0.271000,0.0297,-0.5154,-0.0632,0.520
0.289000,0.1823,-0.5016,-0.1097,0.545
0.290000,0.1823,-0.5016,-0.1097,0.545
0.296000,0.2269,-0.6025,-0.2038,0.675
0.310000,0.1489,-0.6005,-0.4481,0.764
0.312000,0.1899,-0.5574,-0.7966,0.991
0.329000,0.4848,-0.3852,-0.6814,0.921
0.331000,0.4848,-0.3852,-0.6814,0.921
0.332000,0.4767,-0.4461,-1.0445,1.232
0.351000,0.5837,0.0067,-0.8156,1.003
0.352000,0.5837,0.0067,-0.8156,1.003
0.353000,0.2880,-0.1340,-1.0786,1.124
0.373000,0.7573,-0.1878,-1.4529,1.649
0.375000,0.7573,-0.1878,-1.4529,1.649
0.378000,1.1285,0.1317,-1.2541,1.692
0.391000,1.2172,0.3447,-0.8000,1.497
0.395000,1.2922,0.2844,-0.6500,1.474
0.409000,1.2203,0.3538,-0.4309,1.342
0.411000,1.2203,0.3538,-0.4309,1.342
0.424000,0.9763,0.4861,-0.8834,1.404
0.430000,0.9463,0.4970,-0.7562,1.309
0.431000,0.9463,0.4970,-0.7562,1.309
0.434000,0.6842,0.1415,-0.9444,1.175
0.457000,0.8429,0.1512,-0.0119,0.856
0.459000,1.0412,0.2690,0.2222,1.098
0.469000,0.9160,0.2422,-0.3728,1.018
0.471000,0.9160,0.2422,-0.3728,1.018
0.473000,0.9087,-0.0027,-0.4826,1.029
0.489000,0.6114,-0.0331,-0.5552,0.827
0.490000,0.6114,-0.0331,-0.5552,0.827
0.492000,0.6914,-0.2365,-0.3983,0.832
0.510000,1.0194,0.3288,-0.8231,1.351
0.511000,1.0194,0.3288,-0.8231,1.351
0.519000,1.0085,0.1113,-0.6879,1.226
0.530000,0.7355,0.1413,-0.7745,1.077
0.533000,0.6311,0.1289,-0.8156,1.039
0.558000,0.4407,-0.1180,-0.8594,0.973
0.561000,0.4407,-0.1180,-0.8594,0.973
0.562000,0.3237,-0.2719,-0.7616,0.871
0.570000,0.4055,-0.3537,-0.3222,0.627
0.571000,0.4055,-0.3537,-0.3222,0.627
0.574000,0.2491,-0.4247,0.1550,0.516
0.586000,0.3045,-0.7479,0.0673,0.810
0.593000,0.4085,-0.7205,-0.1207,0.837
0.610000,0.6725,-0.6230,-0.0240,0.917
0.611000,0.6725,-0.6230,-0.0240,0.917
0.618000,0.3481,-0.6723,0.0082,0.757
0.632000,0.3916,-0.7375,-0.5976,1.027
0.633000,0.3916,-0.7375,-0.5976,1.027
0.634000,0.2414,-0.5526,-0.8249,1.022
0.660000,-0.0584,-0.4492,-1.0383,1.133
0.662000,-0.0584,-0.4492,-1.0383,1.133
0.663000,-0.1953,-0.3566,-1.3408,1.401
0.668000,-0.1836,-0.3339,-1.3566,1.409
0.671000,-0.1537,-0.2408,-1.2242,1.257
0.690000,-0.0963,-0.1253,-1.1003,1.112
0.691000,-0.0963,-0.1253,-1.1003,1.112
0.693000,-0.1234,-0.3029,-0.8383,0.900
0.709000,-0.1130,-0.2886,-0.8558,0.910
0.710000,-0.1130,-0.2886,-0.8558,0.910
0.712000,-0.3296,-0.4775,-1.0713,1.218
0.733000,-0.8266,-0.5868,-1.9327,2.182
0.735000,-0.8266,-0.5868,-1.9327,2.182
0.736000,-0.5545,-0.0998,0.2351,0.610
0.752000,0.1136,0.0004,0.1277,0.171
0.753000,-0.0517,-0.4086,-0.4418,0.604
0.770000,-0.0878,-0.3245,-0.5451,0.640
0.771000,-0.0878,-0.3245,-0.5451,0.640
0.773000,-0.0941,-0.1057,-0.5709,0.588
0.790000,-0.0566,-0.1313,-0.4697,0.491
0.791000,-0.0566,-0.1313,-0.4697,0.491
0.794000,-0.0292,-0.2295,-0.6936,0.731
0.808000,-0.0778,-0.2540,-0.8510,0.892
0.813000,-0.1800,-0.2766,-0.8117,0.876
0.838000,0.5604,-0.4720,1.7894,1.934
0.839000,0.5604,-0.4720,1.7894,1.934
0.840000,0.3139,-0.5140,0.4471,0.750
0.859000,-0.0784,-0.5195,-0.5169,0.737
0.860000,-0.0784,-0.5195,-0.5169,0.737
0.861000,-0.3546,-0.2888,-0.0132,0.458
0.870000,-0.1897,-0.4072,-0.3434,0.565
0.871000,-0.1897,-0.4072,-0.3434,0.565
0.875000,-0.2099,-0.3025,-0.3452,0.505
