time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.8453,0.1383,-1.9057,2.089
0.007000,0.1857,0.2912,-2.5852,2.608
0.008000,-0.2157,0.2880,-3.2656,3.285
0.009000,-0.5585,0.0756,-2.9869,3.040
0.018000,-0.2014,-0.2167,-1.9336,1.956
0.033000,0.5514,-0.3009,-0.1844,0.655
0.036000,1.3345,-0.4991,0.1365,1.431
0.068000,1.0165,-0.5390,0.0871,1.154
0.070000,1.0165,-0.5390,0.0871,1.154
0.071000,0.6523,0.0020,0.1579,0.671
0.074000,0.4374,-0.0561,-0.6704,0.802
0.078000,0.5737,0.2217,-1.5639,1.681
0.089000,-0.1790,0.4525,-2.8400,2.881
0.102000,-2.3276,0.4124,-4.4745,5.061
0.106000,-2.4119,0.2353,-3.7747,4.486
0.121000,-1.5700,-0.1354,-2.3836,2.857
0.123000,-1.5700,-0.1354,-2.3836,2.857
0.136000,-0.8370,-0.6234,-1.7075,2.001
0.139000,-0.3467,-0.5652,-1.2208,1.389
0.148000,1.0165,-0.5262,-2.8160,3.040
0.164000,-0.4128,0.0281,-1.6763,1.727
0.170000,-0.7541,1.2706,-0.3444,1.517
0.176000,0.7193,0.9128,-1.2536,1.709
0.193000,0.6802,0.0907,-2.0719,2.183
0.195000,0.6802,0.0907,-2.0719,2.183
0.197000,0.5202,0.0787,-2.5755,2.629
0.213000,0.6749,0.1911,-2.8463,2.931
0.218000,0.7988,0.3319,-2.5554,2.698
0.228000,0.7598,0.2822,-2.1722,2.318
0.241000,0.5412,0.1745,-2.1602,2.234
0.256000,0.3868,-0.3222,-2.3892,2.442
0.265000,-0.2543,-0.8004,-2.3770,2.521
0.268000,-0.8335,-1.2350,-2.8640,3.228
0.279000,-1.1222,-1.6016,-3.6982,4.183
0.288000,-1.4328,-1.3212,-4.8464,5.224
0.301000,-0.6112,0.4311,-4.4876,4.549
0.306000,-0.1121,0.3170,-4.6330,4.645
0.320000,-0.9496,0.0742,-3.5933,3.717
0.328000,-1.1150,-0.1558,-2.2887,2.551
0.339000,-1.2646,-0.8119,-1.9659,2.474
0.349000,-1.5627,-1.4775,-1.6267,2.697
0.357000,-1.9867,-1.8431,-1.1743,2.953
0.369000,-2.1721,-1.5038,-0.8952,2.789
0.380000,-1.7313,-1.0802,-0.3201,2.066
0.386000,-1.7125,-1.2203,-0.9658,2.314
0.400000,-1.9027,-1.2071,-1.6528,2.795
0.408000,-1.7979,-1.3000,-1.7685,2.837
0.418000,-1.8857,-1.1983,-1.2948,2.582
0.429000,-2.1459,-1.4737,-0.4748,2.646
0.438000,-2.1704,-1.8569,-0.2594,2.868
0.451000,-2.4266,-1.8930,-0.3637,3.099
0.456000,-2.3718,-2.1235,-0.3963,3.208
0.470000,-2.3423,-1.9988,-0.9628,3.226
0.479000,-1.5436,-1.9987,0.2663,2.539
0.488000,-0.4628,-1.5333,2.1705,2.697
0.499000,-0.3707,-1.2497,1.7793,2.206
0.509000,0.3308,-1.4244,2.1446,2.596
0.519000,0.2921,-1.4102,1.8919,2.378
0.532000,1.2834,-0.2170,2.2053,2.561
0.538000,1.6047,0.2408,2.0002,2.576
0.548000,1.9546,0.3839,1.5390,2.517
0.558000,2.3083,0.3451,1.6764,2.874
0.569000,2.8938,0.4480,2.6285,3.935
0.578000,4.4323,0.6640,4.7766,6.550
0.588000,4.8119,0.8037,4.6097,6.712
0.601000,5.3217,1.0113,4.4369,7.002
0.606000,5.0869,0.8216,3.6529,6.316
0.622000,4.9554,0.7282,2.3945,5.552
0.623000,4.9554,0.7282,2.3945,5.552
0.629000,4.6838,0.4492,1.1003,4.832
0.639000,4.3590,0.0731,0.6119,4.402
0.649000,4.4420,0.0417,0.6339,4.487
0.658000,4.6712,-0.0002,0.7321,4.728
0.671000,4.5940,-0.2533,0.8707,4.683
0.677000,4.2419,-0.9354,0.7105,4.401
0.692000,4.3035,-1.0741,0.7898,4.505
0.694000,4.3035,-1.0741,0.7898,4.505
0.698000,4.5385,-0.8429,0.6834,4.666
0.709000,4.5158,-0.4857,1.2219,4.703
0.719000,4.5051,-0.2611,1.5630,4.776
0.733000,4.2127,-0.2156,1.8013,4.587
0.741000,3.7368,-0.3679,1.6859,4.116
0.747000,3.4274,-0.6766,1.8279,3.943
0.762000,3.1692,-0.8334,1.7991,3.738
0.764000,3.1692,-0.8334,1.7991,3.738
0.768000,2.8599,-0.8716,1.4070,3.304
0.780000,2.8520,-1.0817,1.1245,3.251
0.788000,2.7471,-1.3675,0.7574,3.161
0.799000,2.6758,-1.0711,0.6216,2.949
0.811000,2.6810,-0.5850,0.6293,2.815
0.817000,1.3165,-2.1189,-0.3042,2.513
0.834000,1.3914,-1.9804,-0.2603,2.434
0.840000,1.7754,0.6818,1.1291,2.212
0.851000,0.5911,0.6920,1.1665,1.480
0.858000,0.0774,0.4615,1.0538,1.153
0.872000,-0.4228,0.5075,0.5368,0.851
