time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,7.3160,1.8886,1.2211,7.654
0.011000,7.0744,1.4779,1.6560,7.414
0.027000,6.9054,1.5606,2.4126,7.479
0.031000,6.9397,2.2643,2.4834,7.711
0.042000,6.6773,2.3066,2.4919,7.491
0.050000,6.7697,2.2378,2.6378,7.602
0.067000,7.0677,2.1737,2.5177,7.811
0.071000,7.3095,1.9310,1.9568,7.809
0.084000,7.8514,1.8466,1.4331,8.192
0.087000,8.7462,1.4869,1.2234,8.956
0.101000,9.3222,1.2123,1.4313,9.509
0.109000,9.1221,0.7137,1.3179,9.244
0.119000,9.9833,1.2182,1.0927,10.117
0.130000,9.6697,0.8339,0.3252,9.711
0.148000,10.3154,1.1907,-1.2556,10.460
0.151000,10.3559,1.5791,-1.3266,10.559
0.157000,9.6243,1.4687,-0.8875,9.776
0.174000,9.2094,1.9300,-0.1615,9.411
0.179000,8.5502,2.3806,0.8498,8.916
0.191000,7.5319,2.2600,1.4916,8.004
0.200000,7.2015,2.4272,1.7782,7.805
0.209000,5.8471,2.6964,3.5782,7.366
0.227000,8.3427,3.4066,4.4452,10.048
0.228000,8.1984,2.5724,3.3586,9.226
0.243000,7.2757,1.6596,2.6637,7.924
0.249000,7.2865,1.2636,2.2147,7.720
0.269000,7.5582,1.3411,2.1152,7.962
0.271000,7.7304,1.3158,1.9488,8.080
0.296000,7.6575,1.2665,1.7344,7.953
0.298000,7.5749,1.0531,1.5641,7.806
0.304000,7.3552,1.3117,0.9270,7.529
0.308000,7.3715,1.5391,0.2258,7.534
0.324000,7.3496,1.6735,0.1820,7.540
0.325000,6.9761,1.5490,-0.0383,7.146
0.328000,6.7351,1.3817,0.0547,6.876
0.340000,7.0424,1.9071,0.5549,7.317
0.349000,7.1150,2.3914,0.4052,7.517
0.364000,7.1267,2.6592,0.7381,7.642
0.377000,7.3792,2.9613,1.0799,8.024
0.379000,7.7531,2.9692,1.0826,8.373
0.392000,8.1331,2.9989,1.1238,8.741
0.394000,8.1331,2.9989,1.1238,8.741
0.399000,8.1400,2.9317,1.3947,8.764
0.410000,7.8379,3.2194,2.0319,8.714
0.419000,7.5385,3.6112,2.8372,8.827
0.430000,7.3029,3.3742,3.1017,8.622
0.454000,7.2148,2.9140,4.5913,9.035
0.457000,6.8050,1.7605,6.3333,9.461
0.482000,7.2714,1.0923,6.5843,9.870
0.483000,7.2714,1.0923,6.5843,9.870
0.484000,7.9262,1.0074,5.5945,9.754
0.486000,7.7107,1.0657,4.7335,9.110
0.497000,8.3521,0.9099,2.5226,8.772
0.501000,7.3055,1.5935,3.2570,8.156
0.512000,7.0368,2.2186,3.7587,8.280
0.518000,6.7295,2.6441,4.3917,8.460
0.532000,5.9885,2.5890,3.8416,7.571
0.550000,5.6698,2.6210,3.0561,6.954
0.552000,5.9251,2.8711,2.6003,7.079
0.559000,6.1943,3.1867,2.9099,7.549
0.573000,6.6784,3.0293,2.8515,7.868
0.578000,6.2215,2.4014,2.8152,7.239
0.592000,5.8182,1.5102,3.7119,7.065
0.600000,5.1845,0.9154,3.7852,6.484
0.610000,5.0992,0.4768,3.3251,6.106
0.619000,5.7655,0.5111,2.8558,6.454
0.631000,5.2274,0.0019,1.7096,5.500
0.653000,5.3839,-0.0736,1.2635,5.531
0.655000,4.9382,0.0737,1.9269,5.301
0.658000,4.8536,0.0555,2.2398,5.346
0.687000,5.2674,0.6155,2.4756,5.853
0.690000,5.1553,0.8810,2.6480,5.862
0.692000,4.3821,1.1855,2.4480,5.158
0.702000,3.7158,1.0468,1.9059,4.305
0.709000,3.5570,0.5952,0.8423,3.704
0.723000,3.2361,0.1503,0.1884,3.245
0.728000,3.8055,0.1830,0.2271,3.817
0.749000,5.3483,1.3656,1.6052,5.749
0.751000,6.2593,1.7164,1.8906,6.760
0.760000,6.9527,1.7299,2.0452,7.451
0.769000,7.2347,1.7951,2.2599,7.789
0.781000,7.6124,1.9386,2.9918,8.406
0.791000,7.7966,2.5247,3.0276,8.737
0.802000,6.5748,2.4823,1.9530,7.294
0.810000,5.8235,1.2134,1.7617,6.204
0.820000,5.0424,-0.4678,2.1358,5.496
0.829000,5.0100,-1.1327,1.7548,5.428
0.853000,5.7430,-0.6078,2.4302,6.266
0.855000,6.6917,1.1556,2.2608,7.157
0.876000,7.3889,1.4555,0.8529,7.579
0.878000,7.7759,2.1440,-0.6115,8.089
0.879000,7.6596,2.7620,-2.0331,8.392
0.893000,6.9116,2.5953,-2.9635,7.955
0.895000,6.9116,2.5953,-2.9635,7.955
0.899000,6.2611,2.7166,-3.5896,7.711
0.911000,6.1564,2.4865,-4.4834,8.012
0.919000,6.0509,1.9425,-5.4366,8.363
0.932000,5.6924,1.3789,-7.0015,9.128
0.938000,6.8450,1.1671,-8.1572,10.712
0.957000,6.0089,-1.0592,-9.6132,11.386
0.959000,6.7404,-1.0529,-10.6164,12.619
0.970000,6.9352,-1.2363,-11.2625,13.284
0.981000,6.8537,-2.2103,-12.3773,14.320
0.994000,8.2237,-2.8905,-12.4903,15.231
0.999000,9.6678,-2.9160,-12.8046,16.307
1.012000,9.9212,-3.1444,-13.9783,17.427
1.018000,11.3081,-4.1645,-15.3546,19.519
1.033000,10.8423,-6.3823,-14.6002,19.273
1.034000,10.8423,-6.3823,-14.6002,19.273
1.058000,12.0178,-7.6360,-11.8509,18.525
1.064000,13.3180,-7.7201,-10.6469,18.717
1.065000,14.1877,-7.4623,-8.6845,18.232
1.070000,15.6409,-6.7106,-8.1418,18.867
1.082000,16.6345,-5.2068,-6.2384,18.513
1.087000,17.8762,-4.4154,-4.5998,18.979
1.103000,17.2999,-3.1171,-2.4682,17.751
1.105000,17.2999,-3.1171,-2.4682,17.751
1.110000,18.0861,-0.8321,-0.4224,18.110
