time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.8576,-0.6523,-1.3463,1.724
0.014000,-1.0069,-0.8271,-1.4156,1.924
0.019000,-0.8898,-0.9141,-1.4605,1.939
0.035000,-0.6680,-0.5107,-1.6347,1.838
0.036000,-0.6680,-0.5107,-1.6347,1.838
0.046000,-0.4851,-0.2976,-1.6115,1.709
0.052000,-0.4398,-0.2801,-1.3517,1.449
0.067000,-0.5270,-0.1723,-1.3317,1.443
0.072000,-0.4939,-0.1135,-1.3611,1.452
0.084000,-0.5409,-0.2183,-1.4335,1.548
0.091000,-0.5660,-0.3719,-1.7403,1.867
0.105000,-0.6676,-0.4618,-1.8193,1.992
0.108000,-0.6676,-0.4618,-1.8193,1.992
0.113000,-0.7082,-0.6358,-1.8496,2.080
0.125000,-0.6625,-0.5988,-1.6665,1.891
0.130000,-0.2579,-0.4526,-1.2890,1.390
0.148000,-0.0617,-0.2299,-0.8918,0.923
0.150000,0.1651,-0.2120,-0.7951,0.839
0.164000,0.1293,-0.0458,-0.3781,0.402
0.171000,0.1879,-0.0047,-0.0434,0.193
0.182000,0.4146,0.0422,0.2409,0.481
0.192000,0.6171,0.1227,0.4039,0.748
0.202000,0.6066,0.2037,0.5578,0.849
0.211000,0.5374,0.1911,0.3575,0.673
0.232000,0.0477,0.3929,-0.3410,0.522
0.232000,0.1956,0.4993,-0.5316,0.755
0.247000,0.2625,0.4956,-0.1099,0.571
0.251000,0.1719,0.2947,0.1628,0.378
0.264000,0.2529,-0.2638,0.5131,0.630
0.271000,0.6234,0.1710,1.2222,1.383
0.282000,0.8406,0.0317,1.7956,1.983
0.294000,0.6059,-0.2235,1.7901,1.903
0.299000,0.5790,0.1433,1.2052,1.345
0.314000,0.7780,0.8305,0.5779,1.276
0.322000,0.9863,1.4748,0.3384,1.806
0.332000,0.9698,1.6053,-0.1484,1.881
0.344000,0.6426,1.4543,-0.4970,1.666
0.352000,0.4207,1.2162,-0.4156,1.352
0.362000,0.3369,0.9579,-0.1310,1.024
0.376000,0.2530,0.9599,0.1424,1.003
0.379000,0.3277,1.0628,-0.3726,1.173
0.395000,0.2524,1.1269,-0.5735,1.289
0.397000,0.2524,1.1269,-0.5735,1.289
0.401000,0.4524,1.0374,0.0640,1.134
0.413000,-0.1593,0.8123,-0.1356,0.839
0.421000,0.8555,1.0324,0.3896,1.396
0.434000,0.6659,1.4325,0.4570,1.644
0.448000,0.1317,1.1615,-0.9682,1.518
0.452000,0.1299,1.1761,-0.9509,1.518
0.465000,-0.3565,0.7288,-1.5271,1.729
0.472000,-0.9226,0.0971,-1.6097,1.858
0.483000,-1.7469,-1.8815,-0.1455,2.572
0.493000,0.1708,1.2414,-0.0337,1.254
0.502000,-0.9321,-0.2047,-0.7997,1.245
0.514000,-1.2129,-1.0081,-0.7638,1.752
0.520000,-0.2737,-0.2891,-0.2135,0.452
0.535000,0.0776,0.0446,0.4221,0.431
0.536000,0.0776,0.0446,0.4221,0.431
0.549000,-0.6204,-0.6205,0.2335,0.908
0.553000,-1.0238,-1.2708,-0.6501,1.757
0.563000,-1.0180,-1.1141,-0.9651,1.791
0.572000,-0.9371,-0.9864,-1.1494,1.781
0.586000,-0.8713,-0.8914,-1.2591,1.772
0.589000,-0.8557,-0.8919,-1.6062,2.027
0.606000,-0.6539,-0.5127,-1.6268,1.827
0.610000,-0.6539,-0.5127,-1.6268,1.827
0.612000,-0.4788,-0.5142,-2.0223,2.141
0.623000,-0.3511,-0.7337,-2.1261,2.276
0.636000,-0.0115,-1.2569,-1.5910,2.028
0.643000,0.9402,-1.6260,0.0199,1.878
0.654000,1.0934,-1.9054,-0.7708,2.328
0.661000,2.0996,-2.4394,-0.5570,3.266
0.678000,2.7083,-2.1003,-0.4955,3.463
0.681000,2.7083,-2.1003,-0.4955,3.463
0.682000,3.2790,-2.0013,-0.4384,3.866
0.694000,3.4717,-1.7870,-0.4464,3.930
0.701000,3.6405,-1.6141,-0.1315,3.984
0.715000,3.9887,-1.4540,0.4256,4.267
0.720000,4.4919,-1.5326,0.9301,4.836
0.734000,5.3468,-1.3173,1.9003,5.825
0.747000,5.9384,-1.1088,2.5382,6.553
0.752000,5.9731,-0.9424,2.6831,6.615
0.765000,4.8176,-0.0818,2.4389,5.400
0.772000,3.6675,0.6681,2.1013,4.279
0.783000,1.9806,1.0712,1.5024,2.707
0.794000,1.5724,1.1498,-0.6422,2.051
0.799000,1.6046,1.0378,-1.3172,2.321
0.814000,1.0861,0.8900,-1.4220,1.998
0.822000,0.8200,0.4794,-1.0906,1.446
0.832000,0.5256,0.1117,-0.8251,0.985
0.848000,0.6892,-0.3755,-0.5158,0.939
0.852000,0.6177,-0.5566,-0.3068,0.886
0.864000,0.5768,-0.5669,-0.1558,0.824
0.870000,0.3613,-0.4708,0.0089,0.594
0.884000,0.3492,-0.0954,0.4070,0.545
0.895000,0.4110,0.1876,0.6538,0.795
0.903000,0.2591,0.5400,0.8131,1.010
0.914000,-0.3631,0.6257,1.2789,1.469
0.922000,-1.6150,0.1997,3.2466,3.632
0.935000,-1.0989,0.5338,0.9066,1.521
0.940000,-2.0450,0.4429,0.9799,2.311
0.955000,-2.1727,0.5097,-0.2746,2.248
0.967000,-2.8188,0.5593,-0.5999,2.936
0.972000,-3.1694,0.3013,-0.7197,3.264
0.987000,-3.0354,0.4838,-1.1797,3.292
0.990000,-3.0068,0.7494,-1.3894,3.396
1.002000,-3.1144,0.5847,-1.3875,3.459
1.014000,-2.9509,0.5949,-1.3361,3.293
1.020000,-2.7402,0.6070,-0.9433,2.961
1.035000,-2.3973,0.6839,-0.8381,2.630
1.037000,-2.3973,0.6839,-0.8381,2.630
1.041000,-1.4983,0.7009,-0.7867,1.832
1.054000,-1.0649,0.5670,-0.6395,1.365
1.071000,-0.5472,0.4685,-0.5852,0.928
1.073000,-0.4042,0.3537,-0.5868,0.796
1.084000,-0.1993,0.0835,-0.5956,0.634
1.090000,0.0296,-0.1239,-0.9308,0.939
1.105000,0.2032,-0.2325,-0.9756,1.023
1.106000,0.2032,-0.2325,-0.9756,1.023
1.112000,0.4173,-0.3740,-1.0746,1.212
1.123000,0.5738,-0.4880,-0.8372,1.126
1.132000,0.9030,-0.5156,-0.8613,1.350
1.143000,1.2305,-0.6225,-0.9341,1.666
