time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.4094,0.3609,-1.0191,1.156
0.019000,0.2004,-0.1072,-1.0901,1.114
0.020000,-0.4536,-0.5326,-0.9636,1.191
0.096000,-1.2998,-0.6842,-1.3447,1.991
0.098000,-1.3325,-0.5405,-1.4767,2.061
0.099000,-0.8334,-0.4142,-1.3091,1.606
0.100000,-0.8807,-0.0897,-1.1638,1.462
0.101000,-0.9940,0.0050,-1.4273,1.739
0.102000,-0.4938,-0.2403,-1.1533,1.277
0.103000,-1.1541,-0.7603,-1.8920,2.343
0.105000,0.1817,-0.2479,-1.4816,1.513
0.115000,0.5509,0.1241,-0.3824,0.682
0.117000,0.5509,0.1241,-0.3824,0.682
0.118000,1.1975,0.2444,-0.8181,1.471
0.182000,2.6346,-0.7569,-2.2390,3.539
0.184000,0.1297,-0.9959,-1.7378,2.007
0.185000,-0.8949,-1.0430,-1.4785,2.019
0.186000,-0.2274,-1.4015,-2.1362,2.565
0.188000,0.6464,-1.4620,-2.7496,3.181
0.189000,0.7584,-1.0822,-2.3073,2.659
0.190000,0.7584,-1.0822,-2.3073,2.659
0.191000,0.8505,-0.7000,-2.2458,2.501
0.205000,0.5962,-0.3668,-2.4955,2.592
0.206000,0.6452,0.1667,-3.4340,3.498
0.300000,0.6488,0.2785,-4.9138,4.964
0.301000,-0.1987,-0.3105,-6.2687,6.279
0.303000,-1.3193,-2.1137,-8.1624,8.534
0.304000,-2.3226,-2.9418,-8.4507,9.245
0.305000,-2.3226,-2.9418,-8.4507,9.245
0.307000,-1.5952,-3.2683,-8.5432,9.285
0.309000,-0.4520,-2.8810,-7.2764,7.839
0.310000,-0.1469,-3.2819,-5.9218,6.772
0.312000,-0.7803,-4.0045,-4.3724,5.980
0.313000,-0.1816,-4.7750,-4.0399,6.257
0.314000,-1.6762,-5.5370,-3.0909,6.559
0.315000,-2.3495,-6.3052,-3.0008,7.367
0.365000,-2.6265,-6.7085,-2.6731,7.684
0.367000,-2.1345,-6.5942,-2.1549,7.258
0.368000,-0.4248,-5.2619,-1.3642,5.452
0.370000,0.6906,-4.1657,-1.4919,4.478
0.371000,2.1415,-2.6950,-2.0756,4.020
0.373000,2.4789,-2.0724,-3.2505,4.583
0.393000,3.0152,-0.8863,-2.4631,3.993
0.396000,3.0152,-0.8863,-2.4631,3.993
0.398000,2.9486,-0.7551,-0.3751,3.067
0.484000,2.7486,-0.8077,1.8964,3.436
0.486000,2.5281,-1.0546,2.9697,4.040
0.487000,2.2411,-1.1842,2.9938,3.923
0.489000,2.5805,0.8527,4.0867,4.908
0.490000,3.2504,1.1286,3.3932,4.832
0.492000,4.7550,2.2222,4.3663,6.827
0.493000,4.6447,3.3694,5.7697,8.137
0.495000,4.7859,3.4066,6.5501,8.798
0.497000,4.3399,3.7172,5.6249,8.018
0.499000,3.0795,4.0652,4.8702,7.052
0.505000,2.2433,4.1040,3.8494,6.057
0.511000,0.7728,3.4807,3.5995,5.066
0.525000,0.6996,4.1556,3.8193,5.687
0.608000,1.6047,4.9148,4.3493,6.756
0.610000,2.5350,5.9238,5.0334,8.176
0.611000,2.8714,6.8272,4.8413,8.848
0.613000,3.1867,7.6528,3.9091,9.165
0.616000,3.1635,8.1258,2.4540,9.059
0.618000,2.6980,8.1350,1.7344,8.744
0.619000,2.2150,7.8859,1.3075,8.295
0.620000,1.9898,7.4211,1.3399,7.799
0.621000,1.9898,7.4211,1.3399,7.799
0.622000,1.6399,7.0659,1.7500,7.462
0.671000,2.2576,7.3035,1.7850,7.850
0.673000,1.9203,6.4988,1.6569,6.976
0.674000,2.2777,6.3763,1.9554,7.048
0.675000,3.3865,5.8249,2.6563,7.242
0.676000,4.3934,5.6088,3.4028,7.896
0.678000,5.8708,5.2020,3.5806,8.623
0.679000,5.8708,5.2020,3.5806,8.623
0.689000,6.3203,5.4602,3.6517,9.116
0.694000,6.7371,5.8420,4.2078,9.860
0.711000,7.3234,5.6029,4.3688,10.203
0.716000,7.6472,4.9423,3.8735,9.895
0.726000,7.4838,2.5741,3.3000,8.575
0.781000,8.1589,3.5605,1.9632,9.116
0.783000,9.1169,3.1410,1.4595,9.753
0.785000,9.1169,3.1410,1.4595,9.753
0.786000,9.3747,-0.0208,-0.4342,9.385
0.788000,9.1745,-1.6599,-1.7545,9.487
0.790000,9.2411,-2.4640,-2.0472,9.781
0.792000,10.2814,-3.4923,-0.8279,10.890
0.796000,10.2565,-4.0532,0.3611,11.034
0.808000,10.3662,-4.3988,0.8278,11.291
0.878000,9.9708,-5.1515,0.8272,11.253
0.881000,8.9046,-6.0036,0.4095,10.747
0.882000,6.9048,-6.8512,0.2188,9.730
0.883000,4.1497,-8.0445,-0.4473,9.063
0.885000,0.9731,-8.8464,-1.5857,9.040
0.886000,-1.8133,-9.1585,-2.2537,9.604
0.888000,-3.7561,-9.0827,-2.2618,10.086
0.889000,-4.5173,-8.7267,-2.0658,10.041
0.890000,-4.5173,-8.7267,-2.0658,10.041
0.893000,-4.1746,-8.4427,-1.7309,9.576
0.903000,-4.3544,-8.2683,-1.2687,9.431
0.923000,-4.4625,-7.8060,-0.8958,9.036
0.925000,-4.8202,-7.7121,-1.1065,9.162
0.978000,-5.9739,-7.5163,-1.9105,9.789
0.980000,-6.7335,-7.4354,-2.8225,10.421
0.982000,-6.9510,-6.5652,-3.5111,10.186
0.984000,-7.1211,-6.0033,-3.6367,9.999
0.986000,-6.9748,-5.5424,-3.5327,9.584
0.988000,-7.1072,-5.1986,-2.7773,9.233
0.994000,-7.5005,-5.1168,-1.7378,9.244
1.006000,-7.5934,-4.7005,-0.8128,8.967
1.019000,-7.6314,-4.5406,-0.5156,8.895
1.026000,-7.3191,-3.6607,0.1206,8.184
1.078000,-6.3456,-2.8152,0.3756,6.952
1.079000,-4.9187,-1.7235,0.1852,5.215
1.081000,-1.4063,-1.0890,-0.5472,1.861
1.082000,-0.5056,-1.3671,-1.8581,2.362
1.084000,0.8787,-1.0690,-2.8761,3.192
1.088000,3.5774,0.0853,-2.7252,4.498
1.092000,7.2284,1.2441,-2.5644,7.770
1.107000,12.1685,1.4815,-2.1971,12.454
1.109000,12.1685,1.4815,-2.1971,12.454
1.113000,15.9938,1.6052,-0.7444,16.091
1.203000,18.4898,3.3528,1.8424,18.881
1.205000,20.5763,5.5373,3.8754,21.658
1.206000,20.7035,7.1961,5.4409,22.584
1.208000,18.6924,7.8005,6.5856,21.298
1.210000,15.1298,7.2259,7.1554,18.230
1.212000,10.7770,5.5007,7.1288,14.044
1.214000,10.7770,5.5007,7.1288,14.044
1.215000,6.3649,3.7081,6.4526,9.793
1.216000,2.8456,2.5895,5.4241,6.650
1.217000,1.0009,2.5356,4.5807,5.330
1.219000,-0.2575,3.1116,3.7954,4.915
1.227000,-1.3089,3.7566,2.9876,4.975
1.231000,-2.0633,4.5647,2.7333,5.707
