time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,4.0691,3.4341,-2.9704,6.097
0.006000,4.0486,3.1515,-1.9384,5.485
0.016000,3.4825,1.7472,0.0350,3.896
0.026000,3.3172,1.2441,0.7736,3.626
0.045000,3.4224,1.1432,0.8502,3.707
0.051000,3.6117,1.3356,0.4031,3.872
0.090000,3.4831,1.9894,-0.4783,4.040
0.091000,3.7419,2.2071,-1.7768,4.694
0.093000,3.8020,2.4095,-2.6976,5.248
0.094000,3.7239,2.2621,-3.4968,5.587
0.096000,3.7239,2.2621,-3.4968,5.587
0.096000,5.3176,1.9251,-2.9405,6.374
0.108000,3.9250,1.8815,-2.2492,4.899
0.117000,2.8679,1.7450,-1.4695,3.665
0.129000,2.7755,0.8281,-2.1042,3.580
0.141000,2.2212,-1.3868,-2.9960,3.979
0.146000,1.5545,-0.0875,-1.7726,2.359
0.231000,1.5877,-0.3766,-2.3613,2.870
0.232000,1.5991,-0.4519,-3.7806,4.130
0.233000,1.2006,-0.0715,-3.6459,3.839
0.234000,1.9041,0.5734,-3.4550,3.986
0.237000,2.4335,0.6677,-4.6865,5.323
0.238000,2.2977,1.7317,-2.9304,4.107
0.240000,3.7693,2.2626,-1.9066,4.792
0.241000,3.6511,1.2745,-2.3987,4.551
0.242000,3.3204,1.3132,-2.7300,4.495
0.249000,3.3795,1.2596,-2.7714,4.548
0.261000,3.1801,0.7872,-3.1716,4.560
0.267000,2.9038,0.0248,-4.0603,4.992
0.279000,2.6008,-0.5394,-4.0380,4.833
0.285000,3.5147,-1.3525,-2.6944,4.631
0.337000,3.4962,-1.3672,-2.8690,4.725
0.339000,2.9962,-1.7361,-3.4574,4.893
0.341000,1.6806,-2.4751,-3.8656,4.888
0.343000,0.6495,-2.7904,-3.9335,4.866
0.344000,0.6574,-2.5947,-3.3430,4.283
0.349000,1.3125,-2.4553,-3.3608,4.364
0.365000,1.1009,-2.5494,-4.0913,4.945
0.369000,0.1337,-3.0620,-4.9622,5.832
0.380000,-0.8235,-3.1951,-4.8246,5.845
0.388000,-1.0354,-2.4554,-5.3932,6.016
0.430000,-0.9780,-1.3379,-5.9790,6.204
0.433000,-0.6306,0.0275,-5.4926,5.529
0.434000,-0.2152,1.4103,-4.1566,4.395
0.438000,-0.3363,2.0575,-1.3859,2.503
0.440000,-0.0679,2.5786,1.6488,3.061
0.447000,0.7281,3.4454,5.3842,6.434
0.474000,1.8633,5.3145,9.6884,11.206
0.477000,3.8601,6.8229,14.2900,16.299
0.523000,5.6356,8.8891,18.3873,21.187
0.525000,5.6356,8.8891,18.3873,21.187
0.526000,7.3678,10.4918,21.8210,25.308
0.529000,8.6461,10.9829,23.1289,27.025
0.531000,9.5208,10.9449,22.8432,27.060
0.532000,10.6491,10.8663,20.4970,25.527
0.534000,11.1827,10.2876,17.3331,23.050
0.536000,11.5801,9.9477,13.4593,20.352
0.551000,11.8028,8.6674,11.1014,18.376
0.553000,11.8028,8.6674,11.1014,18.376
0.567000,11.9015,5.7108,8.1431,15.510
0.571000,10.6039,2.6411,6.1838,12.556
0.617000,9.6913,1.3803,5.4899,11.223
0.620000,7.7480,-2.5403,4.6159,9.370
0.622000,5.1661,-6.1779,2.7342,8.505
0.624000,4.3977,-7.9872,2.8355,9.549
0.626000,3.0420,-11.0319,2.3516,11.683
0.628000,2.1375,-13.2456,0.8166,13.442
0.651000,0.8708,-14.7747,0.4167,14.806
0.654000,-0.9455,-17.2410,-0.4126,17.272
0.730000,-3.4634,-19.4959,-1.0535,19.829
0.733000,-4.9838,-21.4397,-1.6174,22.071
0.735000,-5.8936,-22.9918,-2.7439,23.893
0.738000,-4.5602,-23.4134,-4.5048,24.275
0.740000,-2.4544,-23.0067,-6.0787,23.922
0.742000,-0.6811,-22.5107,-7.0926,23.611
0.744000,-0.5018,-22.2845,-7.2049,23.426
0.746000,-0.4528,-21.6995,-7.5359,22.975
