time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,3.1088,-0.9587,-0.6668,3.321
0.009000,3.1578,-1.3805,0.0170,3.446
0.010000,3.1578,-1.3805,0.0170,3.446
0.016000,3.1508,-1.6394,0.4741,3.583
0.027000,3.0834,-1.6891,0.8630,3.620
0.036000,3.0929,-1.6241,1.1408,3.675
0.047000,3.2164,-1.5097,1.0633,3.709
0.076000,3.2541,-1.5370,1.0613,3.752
0.077000,3.2868,-1.4309,0.8606,3.687
0.085000,3.1158,-1.3423,0.4264,3.419
0.086000,3.1158,-1.3423,0.4264,3.419
0.087000,2.9622,-1.2102,-0.4626,3.233
0.097000,2.9465,-0.9799,-1.2896,3.362
0.107000,2.9117,-0.7098,-1.9819,3.593
0.116000,2.8423,-0.4707,-2.5720,3.862
0.128000,2.7876,-0.5165,-3.1147,4.212
0.134000,2.7806,-0.6116,-3.5318,4.536
0.149000,2.4574,-0.9878,-3.7421,4.585
0.157000,2.2921,-1.3341,-3.7009,4.553
0.167000,2.3944,-1.5195,-3.9803,4.887
0.185000,2.5912,-2.1900,-5.0083,6.049
0.194000,2.1098,-1.4844,-3.9828,4.745
0.195000,2.9644,-1.0916,-3.6153,4.801
0.209000,3.5847,-1.3454,-2.7367,4.706
0.216000,4.5681,-1.5122,-1.2686,4.976
0.227000,4.9153,-1.8451,-1.2451,5.396
0.237000,3.8110,-2.1387,-0.9281,4.468
0.248000,3.5290,-2.2547,-1.0305,4.313
0.260000,3.5102,-2.6877,-1.3665,4.627
0.264000,3.2898,-2.5776,-2.0796,4.668
0.285000,2.9243,-2.6596,-2.9647,4.941
0.286000,2.8100,-3.0951,-3.3293,5.344
0.297000,2.3013,-3.5554,-3.4374,5.455
0.307000,1.8077,-4.0066,-3.3506,5.527
0.317000,1.9261,-4.4374,-3.5190,5.982
0.327000,2.2425,-4.5167,-3.1750,5.959
0.339000,2.2510,-4.9198,-3.1103,6.241
0.349000,3.4064,-4.9545,-3.1114,6.770
0.359000,2.7978,-4.2437,-1.8445,5.407
0.367000,3.0353,-5.0997,-2.0041,6.264
0.390000,2.4798,-6.2170,-1.8165,6.935
0.392000,1.9231,-7.0934,-1.7598,7.557
0.399000,1.4626,-7.7180,-2.4400,8.226
0.409000,1.2979,-7.9112,-2.8536,8.510
0.414000,2.7324,-7.3011,-2.7922,8.281
0.429000,2.7156,-7.1955,-2.2041,8.000
0.437000,3.1354,-7.0875,-1.4316,7.881
0.449000,3.2965,-7.9834,-0.3035,8.643
0.459000,2.1145,-8.8361,-1.6033,9.226
0.467000,3.5205,-7.0769,-1.2298,7.999
0.487000,3.5240,-6.9338,-0.9357,7.834
0.489000,4.3613,-7.7932,0.1257,8.931
0.497000,5.1273,-7.0984,0.9424,8.807
0.509000,5.5058,-6.8894,0.9451,8.870
0.517000,5.8960,-6.6690,0.9564,8.953
0.528000,6.4928,-6.2161,0.7939,9.024
0.536000,6.9737,-6.0054,0.8856,9.246
0.549000,6.8442,-5.7927,1.0897,9.032
0.555000,6.9945,-6.2154,0.6231,9.378
0.569000,6.6791,-5.9165,0.1702,8.924
0.586000,6.8913,-6.1358,-0.4020,9.236
0.588000,6.8027,-5.8655,-0.9863,9.036
0.598000,6.6595,-5.9307,-1.6373,9.067
0.613000,6.2465,-5.8371,-1.7754,8.732
0.616000,6.3058,-5.6314,-1.5743,8.600
0.629000,6.3534,-5.2790,-0.9213,8.312
